mir,disease,PMID,AB,TI,HMDD label,miRAIDD label,completion
hsa-mir-16-1,Prostate Neoplasms,21472816,"MicroRNAs (miRNAs) are small, non-coding RNAs that negatively regulate the expression of protein coding genes. In this study, we screened highly informative prostate cancer cell lines and xenografts (n = 42) for miRNA gene copy number and expression changes. The expression profiling showed distinction between cell lines and xenografts as well as between androgen sensitive and independent models. Only a few copy number alterations that were associated with expression changes were identified. Most importantly, the miR-15a-miR-16-1 locus was found to be homozygously deleted in two samples leading to the abolishment of miR-15a, but not miR-16, expression. miR-16 is also expressed from another genomic locus. Mutation screening of the miR-15a-miR-16-1 gene in the model systems as well as clinical samples (n = 50) revealed no additional mutations. In conclusion, our data indicate that putative tumor suppressors, miR-15a and miR-16-1, are homozygously deleted in a subset of prostate cancers, further suggesting that these miRNAs could be important in the development of prostate cancer.",The miR-15a-miR-16-1 locus is homozygously deleted in a subset of prostate,yes,0.0,"It is not clear from the abstract whether hsa-mir-16-1 plays a causal role in prostate cancer. While the loss of expression of miR-16-1 due to homozygous deletion is observed in a subset of prostate cancers, further experimentation is required to establish the causal role of this miRNA in the development of prostate cancer."
hsa-mir-135a-1,Medulloblastoma,21793975,"MicroRNAs (miRNAs) regulate a variety of cellular processes via the regulation of multiple target genes. We screened 48 medulloblastomas for mutation, deletion and amplification of nine miRNA genes that were selected on the basis of the presence of potential target sequences within the 3'-untranslated region of the MYCC mRNA. Differential PCR revealed deletions in miR-186 (15%), miR-135a-1 (33%), miR-548d-1 (42%), miR-548d-2 (21%) and miR-512-2 (33%) genes, whereas deletion or amplification was detected in miR-135b (23%) and miR-135a-2 (15%). In miR-33b, deletion, amplification or a mutation at the precursor miRNA were detected in 10% of medulloblastomas. Overall, 35/48 (73%) medulloblastomas had at least one alteration. Real-time RT-PCR revealed MYCC overexpression in 11 of 37 (30%) medulloblastomas, and there was a correlation between MYCC overexpression and miR-512-2 gene deletion (P = 0.0084). Antisense-based knockdown of miR-512-5p (mature sequence of miR-512-2) resulted in significant upregulation of MYCC expression in HeLa and A549 cells, while forced overexpression of miR-512-2 in medulloblastoma/PNET cell lines DAOY, UW-228-2, PFSK resulted in the downregulation of MYCC protein. Furthermore, the results of luciferase reporter assays suggested that miR-512-2 targets the MYCC gene. These results suggest that alterations in the miRNA genes may be an alternative mechanism leading to MYCC overexpression in medulloblastomas.",Genetic alterations in microRNAs in medulloblastomas.,yes,0.0,"It is unclear from the abstract whether hsa-mir-135a-1 plays a causal role in medulloblastomas. The study does not mention any causal intervention experiments with hsa-mir-135a-1, such as transfection of miR mimic or knockdown experiments. The study only shows that there are deletions in the hsa-mir-135a-1 gene in 33% of medulloblastomas screened, but it does not demonstrate a direct causal relationship between these deletions and the development of medulloblastomas. Therefore, it is not possible to determine whether hsa-mir-135a-1 plays a causal role in the disease from this abstract."
hsa-mir-135a-2,Medulloblastoma,21793975,"MicroRNAs (miRNAs) regulate a variety of cellular processes via the regulation of multiple target genes. We screened 48 medulloblastomas for mutation, deletion and amplification of nine miRNA genes that were selected on the basis of the presence of potential target sequences within the 3'-untranslated region of the MYCC mRNA. Differential PCR revealed deletions in miR-186 (15%), miR-135a-1 (33%), miR-548d-1 (42%), miR-548d-2 (21%) and miR-512-2 (33%) genes, whereas deletion or amplification was detected in miR-135b (23%) and miR-135a-2 (15%). In miR-33b, deletion, amplification or a mutation at the precursor miRNA were detected in 10% of medulloblastomas. Overall, 35/48 (73%) medulloblastomas had at least one alteration. Real-time RT-PCR revealed MYCC overexpression in 11 of 37 (30%) medulloblastomas, and there was a correlation between MYCC overexpression and miR-512-2 gene deletion (P = 0.0084). Antisense-based knockdown of miR-512-5p (mature sequence of miR-512-2) resulted in significant upregulation of MYCC expression in HeLa and A549 cells, while forced overexpression of miR-512-2 in medulloblastoma/PNET cell lines DAOY, UW-228-2, PFSK resulted in the downregulation of MYCC protein. Furthermore, the results of luciferase reporter assays suggested that miR-512-2 targets the MYCC gene. These results suggest that alterations in the miRNA genes may be an alternative mechanism leading to MYCC overexpression in medulloblastomas.",Genetic alterations in microRNAs in medulloblastomas.,yes,0.0,"It is not clear from the abstract whether hsa-mir-135a-2 plays a causal role in medulloblastomas, as the study only found deletions or amplifications in this miRNA gene, but did not perform any functional experiments or interventions to determine its role in the disease."
hsa-mir-135b,Medulloblastoma,21793975,"MicroRNAs (miRNAs) regulate a variety of cellular processes via the regulation of multiple target genes. We screened 48 medulloblastomas for mutation, deletion and amplification of nine miRNA genes that were selected on the basis of the presence of potential target sequences within the 3'-untranslated region of the MYCC mRNA. Differential PCR revealed deletions in miR-186 (15%), miR-135a-1 (33%), miR-548d-1 (42%), miR-548d-2 (21%) and miR-512-2 (33%) genes, whereas deletion or amplification was detected in miR-135b (23%) and miR-135a-2 (15%). In miR-33b, deletion, amplification or a mutation at the precursor miRNA were detected in 10% of medulloblastomas. Overall, 35/48 (73%) medulloblastomas had at least one alteration. Real-time RT-PCR revealed MYCC overexpression in 11 of 37 (30%) medulloblastomas, and there was a correlation between MYCC overexpression and miR-512-2 gene deletion (P = 0.0084). Antisense-based knockdown of miR-512-5p (mature sequence of miR-512-2) resulted in significant upregulation of MYCC expression in HeLa and A549 cells, while forced overexpression of miR-512-2 in medulloblastoma/PNET cell lines DAOY, UW-228-2, PFSK resulted in the downregulation of MYCC protein. Furthermore, the results of luciferase reporter assays suggested that miR-512-2 targets the MYCC gene. These results suggest that alterations in the miRNA genes may be an alternative mechanism leading to MYCC overexpression in medulloblastomas.",Genetic alterations in microRNAs in medulloblastomas.,yes,0.0,It is not clear from the abstract whether hsa-mir-135b plays a causal role in medulloblastomas as the study only detected deletion or amplification of the gene but did not investigate its functional role.
hsa-mir-186,Medulloblastoma,21793975,"MicroRNAs (miRNAs) regulate a variety of cellular processes via the regulation of multiple target genes. We screened 48 medulloblastomas for mutation, deletion and amplification of nine miRNA genes that were selected on the basis of the presence of potential target sequences within the 3'-untranslated region of the MYCC mRNA. Differential PCR revealed deletions in miR-186 (15%), miR-135a-1 (33%), miR-548d-1 (42%), miR-548d-2 (21%) and miR-512-2 (33%) genes, whereas deletion or amplification was detected in miR-135b (23%) and miR-135a-2 (15%). In miR-33b, deletion, amplification or a mutation at the precursor miRNA were detected in 10% of medulloblastomas. Overall, 35/48 (73%) medulloblastomas had at least one alteration. Real-time RT-PCR revealed MYCC overexpression in 11 of 37 (30%) medulloblastomas, and there was a correlation between MYCC overexpression and miR-512-2 gene deletion (P = 0.0084). Antisense-based knockdown of miR-512-5p (mature sequence of miR-512-2) resulted in significant upregulation of MYCC expression in HeLa and A549 cells, while forced overexpression of miR-512-2 in medulloblastoma/PNET cell lines DAOY, UW-228-2, PFSK resulted in the downregulation of MYCC protein. Furthermore, the results of luciferase reporter assays suggested that miR-512-2 targets the MYCC gene. These results suggest that alterations in the miRNA genes may be an alternative mechanism leading to MYCC overexpression in medulloblastomas.",Genetic alterations in microRNAs in medulloblastomas.,yes,0.0,It is not clear from the abstract whether hsa-mir-186 plays a causal role in medulloblastomas as there were no causal intervention experiments mentioned. The study only reports that hsa-mir-186 was deleted in 15% of the tumors screened.
hsa-mir-33b,Medulloblastoma,21793975,"MicroRNAs (miRNAs) regulate a variety of cellular processes via the regulation of multiple target genes. We screened 48 medulloblastomas for mutation, deletion and amplification of nine miRNA genes that were selected on the basis of the presence of potential target sequences within the 3'-untranslated region of the MYCC mRNA. Differential PCR revealed deletions in miR-186 (15%), miR-135a-1 (33%), miR-548d-1 (42%), miR-548d-2 (21%) and miR-512-2 (33%) genes, whereas deletion or amplification was detected in miR-135b (23%) and miR-135a-2 (15%). In miR-33b, deletion, amplification or a mutation at the precursor miRNA were detected in 10% of medulloblastomas. Overall, 35/48 (73%) medulloblastomas had at least one alteration. Real-time RT-PCR revealed MYCC overexpression in 11 of 37 (30%) medulloblastomas, and there was a correlation between MYCC overexpression and miR-512-2 gene deletion (P = 0.0084). Antisense-based knockdown of miR-512-5p (mature sequence of miR-512-2) resulted in significant upregulation of MYCC expression in HeLa and A549 cells, while forced overexpression of miR-512-2 in medulloblastoma/PNET cell lines DAOY, UW-228-2, PFSK resulted in the downregulation of MYCC protein. Furthermore, the results of luciferase reporter assays suggested that miR-512-2 targets the MYCC gene. These results suggest that alterations in the miRNA genes may be an alternative mechanism leading to MYCC overexpression in medulloblastomas.",Genetic alterations in microRNAs in medulloblastomas.,yes,0.0,"It cannot be determined whether hsa-mir-33b plays a causal role in medulloblastoma from the given abstract, as the study only detected mutations, deletions, and amplifications of miRNA genes and did not examine the functional effects of these alterations."
hsa-mir-512-2,Medulloblastoma,21793975,"MicroRNAs (miRNAs) regulate a variety of cellular processes via the regulation of multiple target genes. We screened 48 medulloblastomas for mutation, deletion and amplification of nine miRNA genes that were selected on the basis of the presence of potential target sequences within the 3'-untranslated region of the MYCC mRNA. Differential PCR revealed deletions in miR-186 (15%), miR-135a-1 (33%), miR-548d-1 (42%), miR-548d-2 (21%) and miR-512-2 (33%) genes, whereas deletion or amplification was detected in miR-135b (23%) and miR-135a-2 (15%). In miR-33b, deletion, amplification or a mutation at the precursor miRNA were detected in 10% of medulloblastomas. Overall, 35/48 (73%) medulloblastomas had at least one alteration. Real-time RT-PCR revealed MYCC overexpression in 11 of 37 (30%) medulloblastomas, and there was a correlation between MYCC overexpression and miR-512-2 gene deletion (P = 0.0084). Antisense-based knockdown of miR-512-5p (mature sequence of miR-512-2) resulted in significant upregulation of MYCC expression in HeLa and A549 cells, while forced overexpression of miR-512-2 in medulloblastoma/PNET cell lines DAOY, UW-228-2, PFSK resulted in the downregulation of MYCC protein. Furthermore, the results of luciferase reporter assays suggested that miR-512-2 targets the MYCC gene. These results suggest that alterations in the miRNA genes may be an alternative mechanism leading to MYCC overexpression in medulloblastomas.",Genetic alterations in microRNAs in medulloblastomas.,yes,0.0,"Since the study shows that deletion of miR-512-2 is correlated with MYCC overexpression, and knockdown of miR-512-5p leads to upregulation of MYCC expression, hsa-mir-512-2 is a causal miRNA in medulloblastomas."
hsa-mir-548d-1,Medulloblastoma,21793975,"MicroRNAs (miRNAs) regulate a variety of cellular processes via the regulation of multiple target genes. We screened 48 medulloblastomas for mutation, deletion and amplification of nine miRNA genes that were selected on the basis of the presence of potential target sequences within the 3'-untranslated region of the MYCC mRNA. Differential PCR revealed deletions in miR-186 (15%), miR-135a-1 (33%), miR-548d-1 (42%), miR-548d-2 (21%) and miR-512-2 (33%) genes, whereas deletion or amplification was detected in miR-135b (23%) and miR-135a-2 (15%). In miR-33b, deletion, amplification or a mutation at the precursor miRNA were detected in 10% of medulloblastomas. Overall, 35/48 (73%) medulloblastomas had at least one alteration. Real-time RT-PCR revealed MYCC overexpression in 11 of 37 (30%) medulloblastomas, and there was a correlation between MYCC overexpression and miR-512-2 gene deletion (P = 0.0084). Antisense-based knockdown of miR-512-5p (mature sequence of miR-512-2) resulted in significant upregulation of MYCC expression in HeLa and A549 cells, while forced overexpression of miR-512-2 in medulloblastoma/PNET cell lines DAOY, UW-228-2, PFSK resulted in the downregulation of MYCC protein. Furthermore, the results of luciferase reporter assays suggested that miR-512-2 targets the MYCC gene. These results suggest that alterations in the miRNA genes may be an alternative mechanism leading to MYCC overexpression in medulloblastomas.",Genetic alterations in microRNAs in medulloblastomas.,yes,0.0,It cannot be determined whether hsa-mir-548d-1 plays a causal role in medulloblastoma based on this abstract as the study only reported deletions in the miRNA gene but did not investigate potential functional effects or causal relationships.
hsa-mir-548d-2,Medulloblastoma,21793975,"MicroRNAs (miRNAs) regulate a variety of cellular processes via the regulation of multiple target genes. We screened 48 medulloblastomas for mutation, deletion and amplification of nine miRNA genes that were selected on the basis of the presence of potential target sequences within the 3'-untranslated region of the MYCC mRNA. Differential PCR revealed deletions in miR-186 (15%), miR-135a-1 (33%), miR-548d-1 (42%), miR-548d-2 (21%) and miR-512-2 (33%) genes, whereas deletion or amplification was detected in miR-135b (23%) and miR-135a-2 (15%). In miR-33b, deletion, amplification or a mutation at the precursor miRNA were detected in 10% of medulloblastomas. Overall, 35/48 (73%) medulloblastomas had at least one alteration. Real-time RT-PCR revealed MYCC overexpression in 11 of 37 (30%) medulloblastomas, and there was a correlation between MYCC overexpression and miR-512-2 gene deletion (P = 0.0084). Antisense-based knockdown of miR-512-5p (mature sequence of miR-512-2) resulted in significant upregulation of MYCC expression in HeLa and A549 cells, while forced overexpression of miR-512-2 in medulloblastoma/PNET cell lines DAOY, UW-228-2, PFSK resulted in the downregulation of MYCC protein. Furthermore, the results of luciferase reporter assays suggested that miR-512-2 targets the MYCC gene. These results suggest that alterations in the miRNA genes may be an alternative mechanism leading to MYCC overexpression in medulloblastomas.",Genetic alterations in microRNAs in medulloblastomas.,yes,0.0,"There is insufficient information to determine whether hsa-mir-548d-2 plays a causal role in medulloblastomas. The study only reports deletions and amplifications in the miRNA gene, but does not provide any experimental evidence of a causal role."
hsa-mir-132,Progressive Supranuclear Palsy,21807765,"Tauopathies represent a large class of neurological and movement disorders characterized by abnormal intracellular deposits of the microtubule-associated protein tau. It is now well established that mis-splicing of tau exon 10, causing an imbalance between three-repeat (3R) and four-repeat (4R) tau isoforms, can cause disease; however, the underlying mechanisms affecting tau splicing in neurons remain poorly understood. The small noncoding microRNAs (miRNAs), known for their critical role in posttranscriptional gene expression regulation, are increasingly acknowledged as important regulators of alternative splicing. Here, we identified a number of brain miRNAs, including miR-124, miR-9, miR-132 and miR-137, which regulate 4R:3R-tau ratios in neuronal cells. Analysis of miRNA expression profiles from sporadic progressive supranuclear palsy (PSP) patients, a major 4R-tau tauopathy, showed that miR-132 is specifically down-regulated in disease. We demonstrate that miR-132 directly targets the neuronal splicing factor polypyrimidine tract-binding protein 2 (PTBP2), which protein levels were increased in PSP patients. miR-132 overexpression or PTBP2 knockdown similarly affected endogenous 4R:3R-tau ratios in neuronal cells. Finally, we provide evidence that miR-132 is inversely correlated with PTBP2 during post-natal brain development at the time when 4R-tau becomes expressed. Taken together, these results suggest that changes in the miR-132/PTBP2 pathway could contribute to the abnormal splicing of tau exon 10 in the brain, and sheds light into the potential role played by miRNAs in a subset of tauopathies.",MicroRNA-132 loss is associated with tau exon 10 inclusion in progressive,yes,0.0,"Since the downregulation of hsa-mir-132 is associated with abnormal splicing of tau exon 10 and an increase in the 4R:3R-tau isoform ratio, which can cause progressive supranuclear palsy (PSP), hsa-mir-132 plays a causal role in PSP."
