mir,disease
hsa-let-7b,"Lupus Erythematosus, Systemic"
hsa-let-7b,Retinopathy of Prematurity
hsa-let-7b,Leukemia
hsa-let-7b,Escherichia coli Infections
hsa-let-7b,"Influenza, Human"
hsa-let-7b,Psoriasis
hsa-let-7b,Gastrointestinal Diseases
hsa-let-7b,Sarcoma
hsa-let-7b,"Diabetes Mellitus, Type 2"
hsa-let-7b,Eye Neoplasms
hsa-let-7b,"Leukemia, Myeloid, Acute"
hsa-let-7b,Myocardial Reperfusion Injury
hsa-let-7b,Prostatic Neoplasms
hsa-let-7b,Diabetic Nephropathies
hsa-let-7b,Breast Neoplasms
hsa-let-7b,Asthenozoospermia
hsa-let-7b,Mouth Neoplasms
hsa-let-7b,Alzheimer Disease
hsa-let-7b,"Neoplasms, Glandular and Epithelial"
hsa-let-7b,"Carcinoma, Ovarian Epithelial"
hsa-let-7b,"Carcinoma, Papillary"
hsa-let-7b,Uveal Neoplasms
hsa-let-7b,Esophageal Squamous Cell Carcinoma
hsa-let-7b,Myocardial Ischemia
hsa-let-7b,Mesothelioma
hsa-let-7b,Brain Neoplasms
hsa-let-7b,Multiple Myeloma
hsa-let-7b,Carcinoma
hsa-let-7b,"Carcinoma, Non-Small-Cell Lung"
hsa-let-7b,"Mesothelioma, Malignant"
hsa-let-7c,"Leukemia, Myeloid, Acute"
hsa-let-7c,Myocardial Reperfusion Injury
hsa-let-7c,Kidney Neoplasms
hsa-let-7c,"Prostatic Neoplasms, Castration-Resistant"
hsa-let-7c,Endometrial Neoplasms
hsa-let-7c,"Muscular Dystrophy, Duchenne"
hsa-let-7c,Prostatic Neoplasms
hsa-let-7c,Diabetic Nephropathies
hsa-let-7c,Neoplasm Metastasis
hsa-let-7c,"Kidney Failure, Chronic"
hsa-let-7c,Nasopharyngeal Neoplasms
hsa-let-7c,Adenocarcinoma
hsa-let-7c,"Diabetes Mellitus, Type 1"
hsa-let-7c,Breast Neoplasms
hsa-let-7c,"Carcinoma, Hepatocellular"
hsa-let-7c,Melanoma
hsa-let-7c,Lung Neoplasms
hsa-let-7c,"Neoplasm Recurrence, Local"
hsa-let-7c,"Carcinoma, Squamous Cell"
hsa-let-7c,Mouth Neoplasms
hsa-let-7c,Liver Neoplasms
hsa-let-7c,Dengue
hsa-let-7c,Nasopharyngeal Carcinoma
hsa-let-7c,Cataract
hsa-let-7c,Bile Duct Neoplasms
hsa-let-7c,Urinary Bladder Neoplasms
hsa-let-7c,Pituitary Neoplasms
hsa-let-7c,"Carcinoma, Renal Cell"
hsa-let-7c,Proteinuria
hsa-let-7c,HIV Infections
hsa-let-7c,Prolactinoma
hsa-let-7c,Neoplasm Invasiveness
hsa-let-7c,Uterine Cervical Neoplasms
hsa-let-7c,"Liver Neoplasms, Experimental"
hsa-let-7c,Cholangiocarcinoma
hsa-let-7c,Monoclonal Gammopathy of Undetermined Significance
hsa-let-7c,Pancreatic Neoplasms
hsa-let-7c,"Neoplasms, Experimental"
hsa-let-7c,Carcinogenesis
hsa-let-7c,Colorectal Neoplasms
hsa-let-7c,Stomach Neoplasms
hsa-let-7c,"Cell Transformation, Neoplastic"
hsa-let-7c,"Encephalitis, Tick-Borne"
hsa-let-7c,"Arthritis, Rheumatoid"
hsa-let-7c,Encephalitis
hsa-let-7c,"Renal Insufficiency, Chronic"
hsa-let-7c,Precancerous Conditions
hsa-let-7c,Squamous Cell Carcinoma of Head and Neck
hsa-let-7c,Lymphatic Metastasis
hsa-let-7c,Brain Ischemia
hsa-let-7c,Osteoarthritis
hsa-let-7c,Multiple Myeloma
hsa-let-7c,"Neoplasms, Cystic, Mucinous, and Serous"
hsa-let-7c,Glioma
hsa-let-7c,Esophageal Neoplasms
hsa-let-7c,Leiomyoma
hsa-let-7c,Carcinoma
hsa-let-7c,"Carcinoma, Transitional Cell"
hsa-let-7c,"Osteoporosis, Postmenopausal"
hsa-let-7c,Uterine Neoplasms
hsa-let-7c,Adenocarcinoma of Lung
hsa-let-7c,Endometritis
hsa-let-7c,Stroke
hsa-let-7c,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-15a,Endometrial Neoplasms
hsa-mir-15a,"Lymphoma, Large B-Cell, Diffuse"
hsa-mir-15a,Hypopharyngeal Neoplasms
hsa-mir-15a,"Carcinoma, Hepatocellular"
hsa-mir-15a,"Carcinoma, Renal Cell"
hsa-mir-15a,Neoplasm Invasiveness
hsa-mir-15a,Colonic Neoplasms
hsa-mir-15a,"Carcinoma, Pancreatic Ductal"
hsa-mir-15a,Monoclonal Gammopathy of Undetermined Significance
hsa-mir-15a,"Purpura, Thrombocytopenic, Idiopathic"
hsa-mir-15a,Stomach Neoplasms
hsa-mir-15a,Endometriosis
hsa-mir-15a,"Cystadenocarcinoma, Serous"
hsa-mir-15a,Plasmacytoma
hsa-mir-15a,Osteosarcoma
hsa-mir-15a,Triple Negative Breast Neoplasms
hsa-mir-15a,"Epilepsy, Temporal Lobe"
hsa-mir-15a,Chromosome Disorders
hsa-mir-15a,Odontogenic Tumors
hsa-mir-15a,Hyperglycemia
hsa-mir-15a,Wilms Tumor
hsa-mir-15a,"Lymphoma, Non-Hodgkin"
hsa-mir-15a,Pheochromocytoma
hsa-mir-15a,Scoliosis
hsa-mir-15a,Fanconi Anemia
hsa-mir-15a,"Rhinitis, Allergic"
hsa-mir-15a,Chlamydia Infections
hsa-mir-15a,"Leukemia, Promyelocytic, Acute"
hsa-mir-15a,Ischemic Stroke
hsa-mir-15a,"Colitis, Ulcerative"
hsa-mir-15a,"Carcinoma, Intraductal, Noninfiltrating"
hsa-mir-15a,Nasopharyngeal Neoplasms
hsa-mir-15a,Adenocarcinoma
hsa-mir-15a,Crohn Disease
hsa-mir-15a,"Neoplasm Recurrence, Local"
hsa-mir-15a,Uremia
hsa-mir-15a,Cataract
hsa-mir-15a,Bile Duct Neoplasms
hsa-mir-15a,Odontogenic Cysts
hsa-mir-15a,Pancreatic Neoplasms
hsa-mir-15a,Carcinogenesis
hsa-mir-15a,Colorectal Neoplasms
hsa-mir-15a,Adenoma
hsa-mir-15a,"Arthritis, Rheumatoid"
hsa-mir-15a,Adrenal Gland Neoplasms
hsa-mir-15a,Neuroblastoma
hsa-mir-15a,Leukostasis
hsa-mir-15a,Glioma
hsa-mir-15a,Hematologic Neoplasms
hsa-mir-15a,Small Cell Lung Carcinoma
hsa-mir-15a,Kidney Neoplasms
hsa-mir-15a,Osteoporosis
hsa-mir-15a,Neoplasm Metastasis
hsa-mir-15a,Skin Neoplasms
hsa-mir-15a,Asthma
hsa-mir-15a,Diabetic Retinopathy
hsa-mir-15a,Arthritis
hsa-mir-15a,Melanoma
hsa-mir-15a,Jaw Neoplasms
hsa-mir-15a,Lung Neoplasms
hsa-mir-15a,Bone Neoplasms
hsa-mir-15a,"Carcinoma, Squamous Cell"
hsa-mir-15a,Ovarian Neoplasms
hsa-mir-15a,Liver Neoplasms
hsa-mir-15a,"Neoplasms, Plasma Cell"
hsa-mir-15a,Pterygium
hsa-mir-15a,Urinary Bladder Neoplasms
hsa-mir-15a,Pituitary Neoplasms
hsa-mir-15a,"Lymphoma, Extranodal NK-T-Cell"
hsa-mir-15a,Uterine Cervical Neoplasms
hsa-mir-15a,"Diabetes Mellitus, Experimental"
hsa-mir-15a,"Neoplasms, Experimental"
hsa-mir-15a,Precursor Cell Lymphoblastic Leukemia-Lymphoma
hsa-mir-15a,"Cell Transformation, Neoplastic"
hsa-mir-15a,Lymphatic Metastasis
hsa-mir-15a,Pleural Neoplasms
hsa-mir-15a,Osteoarthritis
hsa-mir-15a,Leukemia
hsa-mir-15a,Diabetes Complications
hsa-mir-15a,Hemangioma
hsa-mir-15a,Adenocarcinoma of Lung
hsa-mir-15a,Gallbladder Neoplasms
hsa-mir-15a,"Diabetes Mellitus, Type 2"
hsa-mir-15a,Peritoneal Fibrosis
hsa-mir-15a,"Leukemia, Myeloid, Acute"
hsa-mir-15a,Prostatic Neoplasms
hsa-mir-15a,Neonatal Sepsis
hsa-mir-15a,Breast Neoplasms
hsa-mir-15a,"Leukemia, Lymphocytic, Chronic, B-Cell"
hsa-mir-15a,Nasopharyngeal Carcinoma
hsa-mir-15a,Intervertebral Disc Degeneration
hsa-mir-15a,Cholangiocarcinoma
hsa-mir-15a,Pre-Eclampsia
hsa-mir-15a,Idiopathic Pulmonary Fibrosis
hsa-mir-15a,Uveal Neoplasms
hsa-mir-15a,"Carcinoma, Ductal, Breast"
hsa-mir-15a,Heart Diseases
hsa-mir-15a,"Infertility, Female"
hsa-mir-15a,Myasthenia Gravis
hsa-mir-15a,Mesothelioma
hsa-mir-15a,Brain Neoplasms
hsa-mir-15a,Ischemia
hsa-mir-15a,Multiple Myeloma
hsa-mir-15a,Myocardial Infarction
hsa-mir-15a,Head and Neck Neoplasms
hsa-mir-15a,Erdheim-Chester Disease
hsa-mir-15a,Carcinoma
hsa-mir-15a,Colitis
hsa-mir-15a,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-15a,"Mesothelioma, Malignant"
hsa-mir-15a,Lymphoma
hsa-mir-17,"Lymphoma, B-Cell"
hsa-mir-17,"Lymphoma, Large B-Cell, Diffuse"
hsa-mir-17,Endometrial Neoplasms
hsa-mir-17,"Prostatic Neoplasms, Castration-Resistant"
hsa-mir-17,"Carcinoma, Hepatocellular"
hsa-mir-17,Vascular Calcification
hsa-mir-17,Bronchopulmonary Dysplasia
hsa-mir-17,Neoplasm Invasiveness
hsa-mir-17,Colonic Neoplasms
hsa-mir-17,"Aortic Aneurysm, Thoracic"
hsa-mir-17,"Carcinoma, Pancreatic Ductal"
hsa-mir-17,Atrial Fibrillation
hsa-mir-17,"Thyroid Carcinoma, Anaplastic"
hsa-mir-17,Thyroid Neoplasms
hsa-mir-17,Vulvar Neoplasms
hsa-mir-17,Peritoneal Neoplasms
hsa-mir-17,Stomach Neoplasms
hsa-mir-17,Endometriosis
hsa-mir-17,Retinoblastoma
hsa-mir-17,Tuberculosis
hsa-mir-17,Bicuspid Aortic Valve Disease
hsa-mir-17,Osteosarcoma
hsa-mir-17,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
hsa-mir-17,Retinal Neovascularization
hsa-mir-17,Triple Negative Breast Neoplasms
hsa-mir-17,"Neoplasms, Basal Cell"
hsa-mir-17,Hemangiosarcoma
hsa-mir-17,Hodgkin Disease
hsa-mir-17,"Lymphoma, Non-Hodgkin"
hsa-mir-17,Esophageal Neoplasms
hsa-mir-17,"Sarcoma, Ewing"
hsa-mir-17,"Leukemia, Promyelocytic, Acute"
hsa-mir-17,Polycystic Kidney Diseases
hsa-mir-17,"Colitis, Ulcerative"
hsa-mir-17,Hepatitis B
hsa-mir-17,"Carcinoma, Intraductal, Noninfiltrating"
hsa-mir-17,Nasopharyngeal Neoplasms
hsa-mir-17,Adenocarcinoma
hsa-mir-17,"Encephalomyelitis, Autoimmune, Experimental"
hsa-mir-17,"Leukemia, B-Cell"
hsa-mir-17,Crohn Disease
hsa-mir-17,Cerebellar Neoplasms
hsa-mir-17,"Neoplasm Recurrence, Local"
hsa-mir-17,"Liver Cirrhosis, Experimental"
hsa-mir-17,Multiple Endocrine Neoplasia Type 1
hsa-mir-17,Burkitt Lymphoma
hsa-mir-17,Bile Duct Neoplasms
hsa-mir-17,Pancreatic Neoplasms
hsa-mir-17,Carcinogenesis
hsa-mir-17,Colorectal Neoplasms
hsa-mir-17,Diabetic Angiopathies
hsa-mir-17,Tongue Neoplasms
hsa-mir-17,"Arthritis, Rheumatoid"
hsa-mir-17,Neuroblastoma
hsa-mir-17,"Obesity, Morbid"
hsa-mir-17,Diabetes Mellitus
hsa-mir-17,Glioma
hsa-mir-17,Cystic Fibrosis
hsa-mir-17,Heart Valve Diseases
hsa-mir-17,Small Cell Lung Carcinoma
hsa-mir-17,Inflammatory Bowel Diseases
hsa-mir-17,Aortic Dissection
hsa-mir-17,Neoplasm Metastasis
hsa-mir-17,Skin Neoplasms
hsa-mir-17,Myeloproliferative Disorders
hsa-mir-17,Liver Cirrhosis
hsa-mir-17,Melanoma
hsa-mir-17,Lung Neoplasms
hsa-mir-17,Bone Neoplasms
hsa-mir-17,"Carcinoma, Squamous Cell"
hsa-mir-17,Ovarian Neoplasms
hsa-mir-17,Liver Neoplasms
hsa-mir-17,"Sarcoma, Kaposi"
hsa-mir-17,Urinary Bladder Neoplasms
hsa-mir-17,Primary Ovarian Insufficiency
hsa-mir-17,Uterine Cervical Neoplasms
hsa-mir-17,"Hypoxia, Brain"
hsa-mir-17,"Diabetes Mellitus, Experimental"
hsa-mir-17,"Neoplasms, Experimental"
hsa-mir-17,Precursor Cell Lymphoblastic Leukemia-Lymphoma
hsa-mir-17,"Cell Transformation, Neoplastic"
hsa-mir-17,Glioblastoma
hsa-mir-17,Squamous Cell Carcinoma of Head and Neck
hsa-mir-17,"Hypertension, Pulmonary"
hsa-mir-17,Pleural Neoplasms
hsa-mir-17,Medulloblastoma
hsa-mir-17,"Lupus Erythematosus, Systemic"
hsa-mir-17,Retinopathy of Prematurity
hsa-mir-17,Osteoarthritis
hsa-mir-17,Leukemia
hsa-mir-17,Retinal Neoplasms
hsa-mir-17,Sezary Syndrome
hsa-mir-17,Psoriasis
hsa-mir-17,"Hepatitis B, Chronic"
hsa-mir-17,"Mesothelioma, Malignant"
hsa-mir-17,Adenocarcinoma of Lung
hsa-mir-17,Gallbladder Neoplasms
hsa-mir-17,"Diabetes Mellitus, Type 2"
hsa-mir-17,"Leukemia, Myeloid, Acute"
hsa-mir-17,"Sarcoma, Synovial"
hsa-mir-17,Prostatic Neoplasms
hsa-mir-17,Diabetic Nephropathies
hsa-mir-17,Gastrointestinal Stromal Tumors
hsa-mir-17,"Leukemia, Erythroblastic, Acute"
hsa-mir-17,Breast Neoplasms
hsa-mir-17,Coronary Disease
hsa-mir-17,"Leukemia, Lymphocytic, Chronic, B-Cell"
hsa-mir-17,Mouth Neoplasms
hsa-mir-17,Alzheimer Disease
hsa-mir-17,Nasopharyngeal Carcinoma
hsa-mir-17,"Mammary Neoplasms, Experimental"
hsa-mir-17,Cholangiocarcinoma
hsa-mir-17,Carotid Stenosis
hsa-mir-17,Osteonecrosis
hsa-mir-17,Esophageal Squamous Cell Carcinoma
hsa-mir-17,Vascular Neoplasms
hsa-mir-17,Aortic Diseases
hsa-mir-17,Mesothelioma
hsa-mir-17,Multiple Myeloma
hsa-mir-17,Myocardial Infarction
hsa-mir-17,Head and Neck Neoplasms
hsa-mir-17,Mycosis Fungoides
hsa-mir-17,Carcinoma
hsa-mir-17,Spinal Cord Injuries
hsa-mir-17,Colitis
hsa-mir-17,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-17,Macular Degeneration
hsa-mir-17,Lymphoma
hsa-mir-18a,Ischemic Stroke
hsa-mir-18a,Endometrial Neoplasms
hsa-mir-18a,Osteoporosis
hsa-mir-18a,"Lymphoma, Large B-Cell, Diffuse"
hsa-mir-18a,Prostatic Neoplasms
hsa-mir-18a,Neoplasm Metastasis
hsa-mir-18a,Skin Neoplasms
hsa-mir-18a,Papillomavirus Infections
hsa-mir-18a,Nasopharyngeal Neoplasms
hsa-mir-18a,Asthma
hsa-mir-18a,Adenocarcinoma
hsa-mir-18a,Breast Neoplasms
hsa-mir-18a,Endomyocardial Fibrosis
hsa-mir-18a,Epstein-Barr Virus Infections
hsa-mir-18a,Pulmonary Arterial Hypertension
hsa-mir-18a,Intracranial Arteriovenous Malformations
hsa-mir-18a,"Carcinoma, Hepatocellular"
hsa-mir-18a,Lung Neoplasms
hsa-mir-18a,"Neoplasm Recurrence, Local"
hsa-mir-18a,"Carcinoma, Squamous Cell"
hsa-mir-18a,Ovarian Neoplasms
hsa-mir-18a,Mouth Neoplasms
hsa-mir-18a,Liver Neoplasms
hsa-mir-18a,"Carcinoma, Basal Cell"
hsa-mir-18a,Ataxia Telangiectasia
hsa-mir-18a,Nasopharyngeal Carcinoma
hsa-mir-18a,Nasal Polyps
hsa-mir-18a,Urinary Bladder Neoplasms
hsa-mir-18a,"Arthritis, Experimental"
hsa-mir-18a,Neoplasm Invasiveness
hsa-mir-18a,Colonic Neoplasms
hsa-mir-18a,"Carcinoma, Ovarian Epithelial"
hsa-mir-18a,Cholangiocarcinoma
hsa-mir-18a,Uterine Cervical Neoplasms
hsa-mir-18a,"Diabetes Mellitus, Experimental"
hsa-mir-18a,Pre-Eclampsia
hsa-mir-18a,Carcinogenesis
hsa-mir-18a,Thyroid Neoplasms
hsa-mir-18a,Colorectal Neoplasms
hsa-mir-18a,Idiopathic Pulmonary Fibrosis
hsa-mir-18a,Stomach Neoplasms
hsa-mir-18a,Retinoblastoma
hsa-mir-18a,"Cell Transformation, Neoplastic"
hsa-mir-18a,Glioblastoma
hsa-mir-18a,Esophageal Squamous Cell Carcinoma
hsa-mir-18a,Osteosarcoma
hsa-mir-18a,Squamous Cell Carcinoma of Head and Neck
hsa-mir-18a,"Hypertension, Pulmonary"
hsa-mir-18a,Neuroblastoma
hsa-mir-18a,"Neoplasms, Basal Cell"
hsa-mir-18a,Coronary Restenosis
hsa-mir-18a,Triple Negative Breast Neoplasms
hsa-mir-18a,Brain Neoplasms
hsa-mir-18a,Osteoarthritis
hsa-mir-18a,Head and Neck Neoplasms
hsa-mir-18a,Helicobacter Infections
hsa-mir-18a,Diabetic Cardiomyopathies
hsa-mir-18a,Leukemia
hsa-mir-18a,Diabetes Mellitus
hsa-mir-18a,Glioma
hsa-mir-18a,Esophageal Neoplasms
hsa-mir-18a,Familial Primary Pulmonary Hypertension
hsa-mir-18a,Diabetic Foot
hsa-mir-18a,"Hepatitis B, Chronic"
hsa-mir-18a,Hemangioma
hsa-mir-18a,Rhinitis
hsa-mir-18a,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-19a,"Prostatic Neoplasms, Castration-Resistant"
hsa-mir-19a,Atherosclerosis
hsa-mir-19a,"Carcinoma, Hepatocellular"
hsa-mir-19a,Giant Cell Tumor of Bone
hsa-mir-19a,"Hepatitis C, Chronic"
hsa-mir-19a,"Carcinoma, Renal Cell"
hsa-mir-19a,Neoplasm Invasiveness
hsa-mir-19a,Colonic Neoplasms
hsa-mir-19a,"Carcinoma, Pancreatic Ductal"
hsa-mir-19a,"Obesity, Abdominal"
hsa-mir-19a,Monoclonal Gammopathy of Undetermined Significance
hsa-mir-19a,"Thyroid Cancer, Papillary"
hsa-mir-19a,Thyroid Neoplasms
hsa-mir-19a,Stomach Neoplasms
hsa-mir-19a,Glucose Metabolism Disorders
hsa-mir-19a,Osteosarcoma
hsa-mir-19a,Cardiomegaly
hsa-mir-19a,"Infarction, Middle Cerebral Artery"
hsa-mir-19a,"Rhinitis, Allergic"
hsa-mir-19a,Nasal Polyps
hsa-mir-19a,Ischemic Stroke
hsa-mir-19a,Nasopharyngeal Neoplasms
hsa-mir-19a,Adenocarcinoma
hsa-mir-19a,Cerebellar Neoplasms
hsa-mir-19a,"Neoplasm Recurrence, Local"
hsa-mir-19a,Bile Duct Neoplasms
hsa-mir-19a,Pancreatic Neoplasms
hsa-mir-19a,Carcinogenesis
hsa-mir-19a,Colorectal Neoplasms
hsa-mir-19a,Tongue Neoplasms
hsa-mir-19a,Neuroblastoma
hsa-mir-19a,Brain Ischemia
hsa-mir-19a,Glioma
hsa-mir-19a,Rectal Neoplasms
hsa-mir-19a,Endometritis
hsa-mir-19a,Reperfusion Injury
hsa-mir-19a,Kidney Neoplasms
hsa-mir-19a,Osteoporosis
hsa-mir-19a,Neoplasm Metastasis
hsa-mir-19a,Asthma
hsa-mir-19a,Lung Neoplasms
hsa-mir-19a,Bone Neoplasms
hsa-mir-19a,"Carcinoma, Squamous Cell"
hsa-mir-19a,Ovarian Neoplasms
hsa-mir-19a,Liver Neoplasms
hsa-mir-19a,Urinary Bladder Neoplasms
hsa-mir-19a,Uterine Cervical Neoplasms
hsa-mir-19a,Polycystic Ovary Syndrome
hsa-mir-19a,"Neoplasms, Experimental"
hsa-mir-19a,Sepsis
hsa-mir-19a,"Cell Transformation, Neoplastic"
hsa-mir-19a,Lymphatic Metastasis
hsa-mir-19a,Medulloblastoma
hsa-mir-19a,"Hypoxia-Ischemia, Brain"
hsa-mir-19a,Leukemia
hsa-mir-19a,Adenocarcinoma of Lung
hsa-mir-19a,Gallbladder Neoplasms
hsa-mir-19a,"Diabetes Mellitus, Type 2"
hsa-mir-19a,"Leukemia, Myeloid, Acute"
hsa-mir-19a,Myocardial Reperfusion Injury
hsa-mir-19a,Prostatic Neoplasms
hsa-mir-19a,Breast Neoplasms
hsa-mir-19a,Pulmonary Fibrosis
hsa-mir-19a,Mouth Neoplasms
hsa-mir-19a,Nasopharyngeal Carcinoma
hsa-mir-19a,"Mammary Neoplasms, Experimental"
hsa-mir-19a,Obesity
hsa-mir-19a,Cholangiocarcinoma
hsa-mir-19a,Pre-Eclampsia
hsa-mir-19a,Disseminated Intravascular Coagulation
hsa-mir-19a,Myocardial Ischemia
hsa-mir-19a,Cerebral Infarction
hsa-mir-19a,Brain Neoplasms
hsa-mir-19a,Multiple Myeloma
hsa-mir-19a,Myocardial Infarction
hsa-mir-19a,Laryngeal Neoplasms
hsa-mir-19a,Heart Failure
hsa-mir-19a,Colitis
hsa-mir-19a,Stroke
hsa-mir-19a,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-20a,"Leukemia, Myeloid, Acute"
hsa-mir-20a,Hepatitis B
hsa-mir-20a,Prostatic Neoplasms
hsa-mir-20a,Diabetic Nephropathies
hsa-mir-20a,Acute Kidney Injury
hsa-mir-20a,Neoplasm Metastasis
hsa-mir-20a,Skin Neoplasms
hsa-mir-20a,Papillomavirus Infections
hsa-mir-20a,Adenocarcinoma
hsa-mir-20a,Atherosclerosis
hsa-mir-20a,Breast Neoplasms
hsa-mir-20a,Melanoma
hsa-mir-20a,"Carcinoma, Hepatocellular"
hsa-mir-20a,Lung Neoplasms
hsa-mir-20a,"Neoplasm Recurrence, Local"
hsa-mir-20a,Bone Neoplasms
hsa-mir-20a,"Carcinoma, Squamous Cell"
hsa-mir-20a,Ovarian Neoplasms
hsa-mir-20a,Liver Neoplasms
hsa-mir-20a,Non-alcoholic Fatty Liver Disease
hsa-mir-20a,"Leukemia, T-Cell"
hsa-mir-20a,Mouth Neoplasms
hsa-mir-20a,Fatty Liver
hsa-mir-20a,Urinary Bladder Neoplasms
hsa-mir-20a,"Arthritis, Experimental"
hsa-mir-20a,Neoplasm Invasiveness
hsa-mir-20a,Colonic Neoplasms
hsa-mir-20a,Uterine Cervical Neoplasms
hsa-mir-20a,"Carcinoma, Pancreatic Ductal"
hsa-mir-20a,"Liver Neoplasms, Experimental"
hsa-mir-20a,"Diabetes Mellitus, Experimental"
hsa-mir-20a,"Thyroid Carcinoma, Anaplastic"
hsa-mir-20a,"Neoplasms, Experimental"
hsa-mir-20a,Carcinogenesis
hsa-mir-20a,Colorectal Neoplasms
hsa-mir-20a,Pre-Eclampsia
hsa-mir-20a,Pancreatic Neoplasms
hsa-mir-20a,"Thyroid Cancer, Papillary"
hsa-mir-20a,Stomach Neoplasms
hsa-mir-20a,Uveal Neoplasms
hsa-mir-20a,Thyroid Neoplasms
hsa-mir-20a,"Cell Transformation, Neoplastic"
hsa-mir-20a,Tuberculosis
hsa-mir-20a,"Arthritis, Rheumatoid"
hsa-mir-20a,Glioblastoma
hsa-mir-20a,Tongue Neoplasms
hsa-mir-20a,Osteosarcoma
hsa-mir-20a,Squamous Cell Carcinoma of Head and Neck
hsa-mir-20a,Lymphatic Metastasis
hsa-mir-20a,Hypercholesterolemia
hsa-mir-20a,Triple Negative Breast Neoplasms
hsa-mir-20a,Pressure Ulcer
hsa-mir-20a,Brain Neoplasms
hsa-mir-20a,Ischemia
hsa-mir-20a,Osteoarthritis
hsa-mir-20a,Multiple Myeloma
hsa-mir-20a,Head and Neck Neoplasms
hsa-mir-20a,Leukemia
hsa-mir-20a,Coronary Artery Disease
hsa-mir-20a,Glioma
hsa-mir-20a,Esophageal Neoplasms
hsa-mir-20a,Diabetic Foot
hsa-mir-20a,Psoriasis
hsa-mir-20a,Uveomeningoencephalitic Syndrome
hsa-mir-20a,"Tuberculosis, Pulmonary"
hsa-mir-20a,Carcinoma
hsa-mir-20a,Spinal Cord Injuries
hsa-mir-20a,Adenocarcinoma of Lung
hsa-mir-20a,Gallbladder Neoplasms
hsa-mir-20a,"Diabetes Mellitus, Type 2"
hsa-mir-20a,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-20a,Reperfusion Injury
hsa-mir-21,Hypersensitivity
hsa-mir-21,"Prostatic Neoplasms, Castration-Resistant"
hsa-mir-21,Endometrial Neoplasms
hsa-mir-21,"Carcinoma, Adenoid Cystic"
hsa-mir-21,"Lymphoma, Large B-Cell, Diffuse"
hsa-mir-21,Carotid Artery Injuries
hsa-mir-21,"Neoplasms, Hormone-Dependent"
hsa-mir-21,Uterine Diseases
hsa-mir-21,Atherosclerosis
hsa-mir-21,"Carcinoma, Hepatocellular"
hsa-mir-21,Myelodysplastic Syndromes
hsa-mir-21,Premature Birth
hsa-mir-21,Schistosomiasis japonica
