,TI,AB,DP,MH,PMID,mir,is_mir_causal
18,"MicroRNA-17, MicroRNA-19b, MicroRNA-146a, MicroRNA-302d Expressions in Hepatoblastoma and Clinical Importance.","Hepatoblastoma (HB) is the most common liver malignancy in children. The prognosis changes according to the histologic subtypes of HB. In the present study, we aimed to characterize the expression level of selected microRNAs (miRNAs) in HB as well as in histologic subtypes, and to consider the association with the prognosis. A total of 22 HB tumor samples, subtyped as fetal (n=16) and embryonal (n=6), and 10 nontumorous surrounding liver samples were evaluated in this study. Expressions of miR-17, miR-146a, miR-302d, and miR-19b were analyzed in 22 HB tumor samples and 10 nontumorous surrounding liver samples by quantitative real-time polymerase chain reaction. Lower miRNA-17 expression levels were obtained in tumor samples in comparison with nontumorous surrounding liver samples (P=0.028). Lower miRNA-17 expression was significant for predicting prognosis in HB patients (area under receiver-operator characteristic curve=0.875, P=0.044). A higher-level of miR-19b was found in embryonal samples (P=0.008). Overall and event-free survival was not found to correlate with miRNA expression levels (P>0.05). This research finds miRNA-17 and miRNA-19b expression levels can provide important data on diagnosis and prognosis in HB showing different clinical behaviors.",2019 Jan,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Disease-Free Survival', 'Female', '*Gene Expression Regulation, Neoplastic', '*Hepatoblastoma/metabolism/mortality', 'Humans', 'Infant', '*Liver Neoplasms/metabolism/mortality', 'Male', 'MicroRNAs/*biosynthesis', 'RNA, Neoplasm/*biosynthesis', 'Real-Time Polymerase Chain Reaction', 'Survival Rate']",29889802,hsa-mir-302d,Yes
40,circPVT1 regulates medullary thyroid cancer growth and metastasis by targeting miR-455-5p to activate CXCL12/CXCR4 signaling.,"BACKGROUND: Medullary thyroid cancer (MTC) represents 13.4 % of all thyroid cancers-related deaths. The treatments for MTC are very limited especially for patients with distal metastasis. Therefore, it is critical to understand the mechanisms of MTC to pursue novel therapeutic avenues. Here, we studied the function of circPVT1/miR-455-5p in MTC. METHODS: Human MTC tissues and cell lines were used. qRT-PCR and Western blotting were employed to measure expression levels of miR-455-5p, circPVT1, CXCL12, and epithelial mesenchymal transformation (EMT)-related proteins. Colony formation assay, flow cytometry, transwell assay, and scratch wound healing assay were used to assess the abilities of cell proliferation, apoptosis, migration and invasion, respectively. Dual luciferase assay and RNA immunoprecipitation were employed to validate interactions of circPVT1/miR-455-5p and miR-455-5p/CXCL12. Nude mouse xenograft model was used to evaluate the effects of shcircPVT1 and miR-455-5p mimics on tumor growth and metastasis in vivo. RESULTS: miR-455-5p was reduced in MTC tissues and cells while circPVT1 was elevated. Their levels were correlated with prognosis of MTC. Overexpression of miR-455-5p or sh-circPVT1 suppressed EMT and MTC cell proliferation, migration and invasion. miR-455-5p targeted CXCL12 while circPVT1 sponged miR-455-5p. Knockdown of CXCL12 or CXCL12/CXCR4 signaling inhibitor reversed the effects of circPVT1 overexpression or miR-455-5p inhibitor on EMT and MTC cell proliferation, migration and invasion. Knockdown of circPVT1 or miR-455-5p overexpression repressed MTC tumor growth and lung metastasis in vivo. CONCLUSIONS: miR-455-5p suppresses MTC growth and metastasis by targeting CXCL12/CXCR4 signaling pathway while circPVT1 promotes MTC by sponging miR-455-5p. Our study sheds light on the mechanisms of MTC growth and metastasis.",2021 May 7,"['Animals', 'Carcinoma, Neuroendocrine/genetics/*metabolism/pathology', 'Cell Line, Tumor', 'Chemokine CXCL12/genetics/*metabolism', 'Heterografts', 'Humans', 'Mice', 'Mice, Nude', 'MicroRNAs/genetics/*metabolism', 'Neoplasm Metastasis', 'RNA, Long Noncoding/genetics/*metabolism', 'Signal Transduction', 'Thyroid Neoplasms/genetics/*metabolism/pathology', 'Transfection']",33962657,hsa-mir-455,Yes
297,Reduction of microRNA-206 contributes to the development of bronchopulmonary,"OBJECTIVE: To characterize microRNA-206 (miR-206) in the development of bronchopulmonary dysplasia (BPD). DESIGN/METHODS: We assessed the expression of miR-206 in BPD mouse lung tissues and blood samples of BPD patients by quantitative real-time PCR. Then, the role of miR-206 in regulating cell biology were examined by XTT assay, flow cytometry, transwell invasion assay, wound healing assay and adhesion assay in vitro. Furthermore, luciferase reporter assay, real-time PCR, western blot and Immunofluorescence staining were performed to figure out the target gene of miR-206. RESULTS: A reduction in expression of miR-206 was observed in BPD mice compared with controls and in BPD patients compared with controls. miR-206 overexpression significantly induced cell apoptosis, reduced cell proliferation, migration and adhesion abilities, whereas the inhibition of miR-206 expression had the opposite effect. Fibronectin 1 (FN1) is a direct target of miR-206, and fn 1 can be transcriptionally and translationally regulated by miR-206. Down-regulation of miR-206 modulates biological functions of the cells, at least in part, by increasing the level of fn 1. Furthermore, fn 1 expression levels were increased in the BPD mice and BPD patients. CONCLUSIONS: The expression of miR-206 and its target gene, fn 1, may contribute to the progression of BPD.",2013,"['Animals', 'Bronchopulmonary Dysplasia/*genetics/*metabolism', 'Cell Adhesion', 'Cell Line, Tumor', 'Cell Movement', 'Cell Proliferation', 'Female', 'Fibronectins/*metabolism', '*Gene Expression Regulation', 'Humans', 'Lung/metabolism', 'Male', 'Mice', 'MicroRNAs/*metabolism', 'RNA, Small Interfering/metabolism', 'Wound Healing']",24040336,hsa-mir-206,Yes
89,Identification by RNA-Seq of let-7 clusters as prenatal biomarkers for,"Nonsyndromic cleft lip with palate (nsCLP) is a common congenital malformation; however, early prenatal diagnosis is challenging and pathogenesis remains unclear. The purpose of this study was to determine the diagnostic potential of miRNAs in plasma-derived exosomes and whole plasma of pregnant women to identify nsCLP and an underlying mechanism. Combined RNA sequencing analysis was performed on samples from plasma exosomes and whole plasma of pregnant women carrying normal fetuses or fetuses with nsCLP in an ongoing birth cohort, in addition to lip samples from nsCLP fetuses and healthy controls. Eight let-7 cluster miRNAs (hsa-let-7a-3p, hsa-let-7a-5p, hsa-let-7c-5p, hsa-let-7d-3p, hsa-let-7d-5p, hsa-let-7e-5p, hsa-let-7f-5p, and hsa-miR-98-5p) in plasma exosomes from pregnant women provided higher sensitivity/specificity for diagnosing fetal nsCLP than those in plasma. Area under the receiver operating characteristic curve value of the eight miRNAs from plasma exosomes was 0.992. Among them, hsa-let-7a-3p showed better diagnostic capability and was downregulated in nsCLP fetal lip tissues. Upstream and downstream target genes of hsa-let-7a-3p were screened and confirmed. Our work highlights the potential clinical application value of let-7 clusters in predicting nsCLP and associates as a new regulatory axis (EN2-LIN28A-hsa-let-7a-3p-HHIP-GLI2) with human nsCLP pathogenesis.",2022,"['Biomarkers', 'Brain/abnormalities', '*Cleft Lip/diagnosis/genetics', 'Cleft Palate', 'Female', 'Humans', '*MicroRNAs/genetics', 'Palate', 'Pregnancy', 'RNA-Seq']",35854669,hsa-let-7c,No
376,Identification of circRNA-associated ceRNA network in BMSCs of OVX models for,"Circular RNAs (circRNAs) serve as competing endogenous RNAs (ceRNAs) and indirectly regulate gene expression through shared microRNAs (miRNAs). However, the potential circRNAs functioning as ceRNAs in osteoporosis remain unclear. The bone marrow mesenchymal stem cells (BMSCs) were isolated from ovariectomy (OVX) mice and controls. We systematically analyzed RNA-seq and miRNA-microarray data, miRNA-target interactions, and prominently coexpressed gene pairs to identify aberrantly expressed circRNAs, miRNAs, and messenger RNAs (mRNAs) between the OVX mice and controls. A total of 45 circRNAs, 22 miRNAs, and 548 mRNAs were significantly dysregulated (fold change > 1.5; p < 0.05). Gene Ontology and Kyoto Encyclopedia of Genes and Genomes pathway analyses were conducted for differentially expressed mRNAs, and subsequently a circRNA-associated ceRNA network involved in osteoporosis was constructed. We identified two ceRNA regulatory pathways in this osteoporosis mouse model-novel circRNA 0020/miR-206-3p/Nnmt and circRNA 3832/miR-3473e/Runx3, which were validated by real-time PCR. This is the first study to elucidate the circRNA-associated ceRNA network in OVX and control mice using deep RNA-seq and RNA-microarray analysis. The data further expanded the understanding of circRNA-associated ceRNA networks, and the regulatory functions of circRNAs, miRNAs and mRNAs in the pathogenesis and pathology of osteoporosis.",2020,"['Animals', 'Bone Marrow Cells/*metabolism', '*Disease Models, Animal', 'Female', 'Gene Expression Profiling', 'Gene Expression Regulation/*genetics', 'Gene Ontology', '*Gene Regulatory Networks', 'Humans', 'Mesenchymal Stem Cells/*metabolism', 'Mice', 'Mice, Inbred BALB C', 'MicroRNAs/biosynthesis/genetics', 'Oligonucleotide Array Sequence Analysis', 'Osteoporosis, Postmenopausal/*genetics', 'Ovariectomy/adverse effects', 'RNA, Circular/biosynthesis/*genetics', 'RNA, Long Noncoding/genetics', 'RNA, Messenger/biosynthesis/genetics', 'Real-Time Polymerase Chain Reaction', 'Sequence Analysis, RNA']",32616775,hsa-mir-206,No
1490,Role of miR-155 in the regulation of MMP-16 expression in intervertebral disc,"The molecular mechanisms of intervertebral disc degeneration (IDD) remain elusive. We found that miR-155 is down-regulated in degenerative nucleus pulposus (NP), and more severe degeneration is correlated with higher matrix metallopeptidase 16 (MMP-16) expression. MMP-16 also degraded matrix aggrecan. Here, we addressed the in vivo miR-155-mediated pathological impact on IDD using a classic puncture mouse model. Lentiviral upregulated-miR-155 or downregulated-miR-155 was transduced into the discs of C57 mice, which was validated by real-time polymerase chain reaction (real-time PCR) and in situ hybridization. Immunohistochemistry and western blotting revealed that up-regulation of miR-155 resulted in down-regulation of MMP-16 and an increase in aggrecan and collagen type II in mouse NP; whereas, down-regulation of miR-155 resulted in up-regulation of MMP-16 and a decrease in aggrecan in mouse NP. Radiographic and histological analysis showed that the up-regulation of miR-155 attenuated IDD, while down-regulation of miR-155 resulted in the deterioration of IDD. These findings indicate that decreased miR-155 contributed to the up-regulation of MMP-16 in vivo, and MMP-16 further degraded aggrecan and collagen type II, leading to the dehydration and degeneration of discs. Our findings revealed a therapeutic role for miR-155 in IDD. © 2017 The Authors. Journal of Orthopaedic Research Published by Wiley Periodicals, Inc. on behalf of Orthopaedic Research Society. J Orthop Res 35:1323-1334, 2017.",2017,"[""3' Untranslated Regions"", 'Adult', 'Aged', 'Aggrecans/biosynthesis', 'Animals', 'Collagen Type II/metabolism', 'Humans', 'Intervertebral Disc/pathology', 'Intervertebral Disc Degeneration/enzymology/*etiology/pathology', 'Lentivirus', 'Matrix Metalloproteinase 16/*metabolism', 'Matrix Metalloproteinase 2/metabolism', 'Mice', 'MicroRNAs/*metabolism', 'Middle Aged', 'Young Adult']",27227700,hsa-mir-155,Yes
2019,Identification of Circulating Serum miRNAs as Novel Biomarkers in Pancreatic,"Pancreatic cancer (PC) is difficult to detect in the early stages; thus, identifying specific and sensitive biomarkers for PC diagnosis is crucial, especially in the case of early-stage tumors. Circulating microRNAs are promising non-invasive biomarkers. Therefore, we aimed to identify non-invasive miRNA biomarkers and build a model for PC diagnosis. For the training model, blood serum samples from 63 PC patients and 63 control subjects were used. We selected 39 miRNA markers using a smoothly clipped absolute deviation-based penalized support vector machine and built a PC diagnosis model. From the double cross-validation, the average test AUC was 0.98. We validated the diagnosis model using independent samples from 25 PC patients and 81 patients with intrahepatic cholangiocarcinoma (ICC) and compared the results with those obtained from the diagnosis using carbohydrate antigen 19-9. For the markers miR-155-5p, miR-4284, miR-346, miR-7145-5p, miR-5100, miR-661, miR-22-3p, miR-4486, let-7b-5p, and miR-4703-5p, we conducted quantitative reverse transcription PCR using samples from 17 independent PC patients, 8 ICC patients, and 8 healthy individuals. Differential expression was observed in samples from PC patients. The diagnosis model based on the identified markers showed high sensitivity and specificity for PC detection and is potentially useful for early PC diagnosis.",2021,"['Aged', 'Algorithms', 'Biomarkers, Tumor/blood/*genetics/standards', 'Cholangiocarcinoma/blood/*genetics', 'Circulating MicroRNA/blood/*genetics/standards', 'Female', 'Humans', 'Male', 'Middle Aged', 'Pancreatic Neoplasms/blood/*genetics', 'Sensitivity and Specificity']",33498271,hsa-mir-155,No
486,"miR-141, a new player, joins the senescence orchestra.",Commentary article,2013,"['Cellular Senescence/*genetics', 'Fibroblasts/*physiology', 'Humans', 'MicroRNAs/*metabolism', 'Polycomb Repressive Complex 1/*metabolism']",24189529,hsa-mir-200c,No
680,Soy Isoflavone Genistein Impedes Cancer Stemness and Mesenchymal Transition in,"Genistein, a soy-derived phytoestrogen, has been shown to exhibit anti-neoplastic activities in various cancers. Nevertheless, its effects on the elimination of tumor-initiating cells of head and neck cancer (HNC-TICs) remain unclear. Here, we investigated the inhibitory effect of genistein on HNC-TICs and potential mechanisms. Our results demonstrated that genistein lowered the proliferation of HNC-TICs by examining the percentage of ALDH1+ or CD44+ cells. Aside from the downregulation of epithelial-mesenchymal transition (EMT) in HNC-TICs, genistein restricted their tumor propagating capacities in a dose-dependent fashion. Moreover, genistein potentiated cell death caused by three commonly used chemotherapeutic agents (doxorubicin, cisplatin, and 5-FU). Our findings proved that genistein induced ROS production through upregulation of miR-34a, leading to apoptosis in HNC-TICs. The genistein-elicited miR-34a reduced self-renewal, migration, invasion capacities and ALDH1 activity, which may be partly owing to the repression of EMT. Furthermore, we showed that RTCB was a novel target that was negatively regulated by miR-34a and involved in the tumor repressive effect of genistein. Besides, the in vivo study validated that genistein retarded tumor growth through the elevation of miR-34a and suppression of RTCB. These results suggested that genistein-induced miR-34a contributed to the ROS-associated apoptosis and diminished stemness properties via repression of RTCB in HNC-TICs.",2020,"['Aldehyde Dehydrogenase 1 Family', 'Anticarcinogenic Agents/*pharmacology', 'Apoptosis/drug effects', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Down-Regulation/drug effects', 'Epithelial-Mesenchymal Transition/drug effects', 'Genistein/*pharmacology', 'Head and Neck Neoplasms/*drug therapy/genetics', 'Humans', 'Hyaluronan Receptors', 'MicroRNAs/*metabolism', 'Neoplastic Stem Cells/drug effects', 'Proteins/*metabolism', 'Signal Transduction/*drug effects']",32610494,hsa-mir-34a,Yes
190,The long noncoding RNA LINC01140/miR-140-5p/FGF9 axis modulates bladder cancer,"MIBC (muscle invasive bladder cancer) only accounts for only a minority of bladder cancers, however, the disease-specific and overall survival rates of patients with MIBC are low. Macrophage M2 polarization has been reported to be associated with poorer prognosis in bladder cancer. Through cancer bioinformatics and experimental analyses, FGF9 was found to be upregulated in MIBC tissues. FGF9 knockdown in T24 cells strongly suppressed the viability, migratory capacity, and invasive capacity of cells; culture with medium from FGF9 knockdown T24 cells (si-FGF9-CM) significantly inhibited macrophage M2 polarization, while promoting M1 polarization. The long noncoding RNA (lncRNA) LINC01140 was positively correlated with FGF9 and was significantly upregulated in MIBC tissues. LINC01140 knockdown inhibited the viability, migratory capacity and invasive capacity of T24 cells; culture in si-LINC01140-CM also inhibited macrophage M2 polarization, while promoting M1 polarization. LINC01140 targeted miR-140-5p, while miR-140-5p targeted FGF9 to form a lncRNA-miRNA-mRNA axis. The effects of miR-140-5p inhibition on bladder cancer aggressiveness and macrophage M2 polarization were opposite to those of LINC01140 or FGF9 knockdown; additionally, miR-140-5p inhibition partially reversed the effects of LINC01140 knockdown on FGF9 protein levels, bladder cancer phenotype, and macrophage M2 polarization. In conclusion, LINC01140, miR-140-5p, and FGF9 form a lncRNA-miRNA-mRNA axis that modulates the bladder cancer phenotype, affects macrophage M2 polarization through the tumor microenvironment, and in turn affects bladder cancer cell aggressiveness.",2020,"['Adult', 'Aged', 'Carcinoma, Transitional Cell/*genetics/immunology/metabolism/pathology', 'Cell Line, Tumor', 'Cell Movement/genetics', 'Cell Survival', 'Female', 'Fibroblast Growth Factor 9/*genetics/metabolism', 'Gene Knockdown Techniques', 'Humans', 'Male', 'MicroRNAs/*genetics/metabolism', 'Middle Aged', 'Muscle, Smooth/pathology', 'Neoplasm Invasiveness', 'RNA, Long Noncoding/*genetics/metabolism', 'Tumor Microenvironment/genetics', 'Tumor-Associated Macrophages/*immunology', 'Urinary Bladder Neoplasms/*genetics/immunology/metabolism/pathology', 'Young Adult']",33234721,hsa-mir-140,Yes
3,Identification and functional analysis of a three-miRNA ceRNA network in hypertrophic scars.,"BACKGROUND: Hypertrophic scar (HTS) is a fibrotic disorder of skins and may have repercussions on the appearance as well as functions of patients. Recent studies related have shown that competitive endogenous RNA (ceRNA) networks centering around miRNAs may play an influential role in HTS formation. This study aimed to construct and validate a three-miRNA (miR-422a, miR-2116-3p, and miR-3187-3p) ceRNA network, and explore its potential functions. METHODS: Quantitative real‑time PCR (qRT‑PCR) was used to compare expression levels of miRNAs, lncRNAs, and genes between HTS and normal skin. Target lncRNAs and genes of each miRNA were predicted using starBase as well as TargetScan database to construct a distinct ceRNA network; overlapping target lncRNAs and genes of the three miRNAs were utilized to develop a three-miRNA ceRNA network. For every network, protein-protein interaction (PPI) network analysis was performed to identify its hub genes. For each network and its hub genes, Gene Oncology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) analysis were conducted to explore their possible functions. RESULTS: MiR-422a, miR-2116-3p, and miR-3187-3p were all downregulated in HTS tissues and fibroblasts. MiR-422a-based ceRNA network consisted of 101 lncRNAs with 133 genes; miR-2116-3p-centered ceRNA network comprised 85 lncRNAs and 978 genes; miR-3187-3p-derived ceRNA network encompassed 84 lncRNAs as well as 1128 genes. The three-miRNA ceRNA network included 2 lncRNAs with 9 genes, where MAPK1, FOSL2, ABI2, KPNA6, CBL, lncRNA-KCNQ1OT1, and lncRNA-EBLN3P were upregulated. According to GO and KEGG analysis, these networks were consistently related to ubiquitination. Three ubiquitination-related genes (CBL, SMURF2, and USP4) were upregulated and negatively correlated with the expression levels of the three miRNAs in HTS tissues. CONCLUSIONS: This study identified a three-miRNA ceRNA network, which might take part in HTS formation and correlate with ubiquitination.",2021 Oct 29,"['*Cicatrix, Hypertrophic/genetics', 'Gene Regulatory Networks', 'Humans', '*MicroRNAs/genetics', '*RNA, Long Noncoding/genetics', 'RNA, Messenger', 'Ubiquitin-Specific Proteases']",34715879,hsa-mir-3187,No
1485,MicroRNA signature refine response prediction in CML.,"microRNAs (miRs) dysregulation have emerged as a crucial step in tumorigenesis, being related with cancer development, progression and response to treatment. In chronic myeloid leukaemia (CML), the resistance to tyrosine kinase inhibitors (TKI) is responsible for treatment failure and could be linked to changes in miRs expression. This work aimed to correlate the expression levels of 3 miRs, miR-21, miR-26b and miR-451, with response to TKI treatment in CML patients. miR-451 levels at diagnosis were significantly higher in patients with optimal response after 6 and 12 months of therapy. Conversely, patients without optimal response had highest levels of miR-21. miR-21 and miR-451 appear to be good biomarkers of response, able to predict optimal TKI responders (p < 0.05). Using the combined profile of both miRs, we create a predictive model of optimal response after one year of treatment. This study highlights the role of miR-21 and miR-451 expression levels at diagnosis in predicting which patients achieve the optimal response.",2019,"['Adult', 'Aged', 'Biomarkers, Tumor/analysis/*genetics', 'Cell Transformation, Neoplastic/drug effects/*genetics/pathology', 'Disease Progression', '*Drug Resistance, Neoplasm', 'Female', 'Follow-Up Studies', 'Gene Expression Regulation, Leukemic/*drug effects', 'Humans', 'Imatinib Mesylate/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/*genetics/pathology', 'Male', 'MicroRNAs/analysis/*genetics', 'Middle Aged', 'Prognosis', 'Protein Kinase Inhibitors/therapeutic use', 'Survival Rate', 'Tumor Cells, Cultured']",31273251,hsa-mir-21,No
236,MicroRNA expression abnormalities in pancreatic endocrine and acinar tumors are,"PURPOSE: We investigated the global microRNA expression patterns in normal pancreas, pancreatic endocrine tumors and acinar carcinomas to evaluate their involvement in transformation and malignant progression of these tumor types. MicroRNAs are small noncoding RNAs that regulate gene expression by targeting specific mRNAs for degradation or translation inhibition. Recent evidence indicates that microRNAs can contribute to tumor development and progression and may have diagnostic and prognostic value in several human malignancies. MATERIALS AND METHODS: Using a custom microarray, we studied the global microRNA expression in 12 nontumor pancreas and 44 pancreatic primary tumors, including 12 insulinomas, 28 nonfunctioning endocrine tumors, and four acinar carcinomas. RESULTS: Our data showed that a common pattern of microRNA expression distinguishes any tumor type from normal pancreas, suggesting that this set of microRNAs might be involved in pancreatic tumorigenesis; the expression of miR-103 and miR-107, associated with lack of expression of miR-155, discriminates tumors from normal; a set of 10 microRNAs distinguishes endocrine from acinar tumors and is possibly associated with either normal endocrine differentiation or endocrine tumorigenesis; miR-204 is primarily expressed in insulinomas and correlates with immunohistochemical expression of insulin; and the overexpression of miR-21 is strongly associated with both a high Ki67 proliferation index and presence of liver metastasis. CONCLUSION: These results suggest that alteration in microRNA expression is related to endocrine and acinar neoplastic transformation and progression of malignancy, and might prove useful in distinguishing tumors with different clinical behavior.",2006,"['Carcinoma, Acinar Cell/diagnosis/*genetics/*pathology', 'Cell Transformation, Neoplastic', 'Gene Expression Profiling', 'Humans', 'Insulinoma/diagnosis/*genetics/*pathology', 'Liver Neoplasms/secondary', 'MicroRNAs/*metabolism', 'Pancreas/metabolism', 'Pancreatic Neoplasms/diagnosis/*genetics/*pathology', 'Prognosis', 'Survival']",16966691,hsa-mir-107,No
321,Cholesterol homeostasis regulation by miR-223: basic science mechanisms and,Commentary article,2015,"['Animals', 'Cholesterol/*metabolism', '*Homeostasis', 'Humans', 'MicroRNAs/*genetics', 'Transcriptome/*genetics']",25814681,hsa-mir-223,No
923,MicroRNA-155 is Dysregulated in the Skin of Patients with Vitiligo and Inhibits,"Little is known about the functions of microRNAs (miRNAs) in skin pigmentation disorders. The aim of this study was to investigate the expression and potential role of miRNAs in vitiligo. Of 12 studied miRNAs with proven functions in cell proliferation, differentiation, immune responses and melanogenesis, miR-99b, miR-125b, miR-155 and miR-199a-3p were found to be increased and miR-145 was found to be decreased in the skin of patients with vitiligo. Combined pathway and target analysis revealed melanogenesis-associated targets for miR-99b, miR-125b, miR-155 and miR-199a-3p. In situ hybridization analysis demonstrated increased expression of miR-155 in the epidermis of patients with vitiligo. Correspondingly, miR-155 was induced by vitiligo-associated cytokines in human primary melanocytes and keratinocytes. When overexpressed, miR-155 inhibited the expression of melanogenesis-associated genes and altered interferon-regulated genes in melanocytes and keratinocytes. In conclusion, this study demonstrates that the expression of miRNAs is dysregulated in the skin of patients with vitiligo and suggests that miR-155 contributes to the pathogenesis of vitiligo.",2016,"['Case-Control Studies', 'Cell Differentiation', 'Cell Proliferation', 'Cells, Cultured', 'Cytokines/metabolism', 'Humans', 'In Situ Hybridization', 'Keratinocytes/*metabolism', 'Melanocytes/*metabolism', 'MicroRNAs/*metabolism', 'Real-Time Polymerase Chain Reaction', 'Vitiligo/*metabolism/pathology']",26941046,hsa-mir-145,No
648,MicroRNA-155 targets SMAD2 and modulates the response of macrophages to,"Transforming growth factor-beta (TGF-β) is a pleiotropic cytokine with important effects on processes such as fibrosis, angiogenesis, and immunosupression. Using bioinformatics, we identified SMAD2, one of the mediators of TGF-β signaling, as a predicted target for a microRNA, microRNA-155 (miR-155). MicroRNAs are a class of small non-coding RNAs that have emerged as an important class of gene expression regulators. miR-155 has been found to be involved in the regulation of the immune response in myeloid cells. Here, we provide direct evidence of binding of miR-155 to a predicted binding site and the ability of miR-155 to repress SMAD2 protein expression. We employed a lentivirally transduced monocyte cell line (THP1-155) containing an inducible miR-155 transgene to show that endogenous levels of SMAD2 protein were decreased after sustained overexpression of miR-155. This decrease in SMAD2 led to a reduction in both TGF-β-induced SMAD-2 phosphorylation and SMAD-2-dependent activation of the expression of the CAGA(12)LUC reporter plasmid. Overexpression of miR-155 altered the cellular responses to TGF-β by changing the expression of a set of genes that is involved in inflammation, fibrosis, and angiogenesis. Our study provides firm evidence of a role for miR-155 in directly repressing SMAD2 expression, and our results demonstrate the relevance of one of the two predicted target sites in SMAD2 3'-UTR. Altogether, our data uncover an important role for miR-155 in modulating the cellular response to TGF-β with possible implications in several human diseases where homeostasis of TGF-β might be altered.",2010,"['Binding Sites', 'Cell Line', 'Fibrosis/metabolism', '*Gene Expression Regulation', 'HeLa Cells', 'Humans', 'Macrophages/*metabolism', 'MicroRNAs/*metabolism', 'Myeloid Cells', 'Neovascularization, Pathologic/metabolism', 'Protein Binding', 'Smad2 Protein/*metabolism', 'Transforming Growth Factor beta/*metabolism', 'Transgenes']",21036908,hsa-mir-155,Yes
2,Untargeted sequencing of circulating microRNAs in a healthy and diseased older population.,"We performed untargeted profiling of circulating microRNAs (miRNAs) in a well characterized cohort of older adults to verify associations of health and disease-related biomarkers with systemic miRNA expression. Differential expression analysis revealed 30 miRNAs that significantly differed between healthy active, healthy sedentary and sedentary cardiovascular risk patients. Increased expression of miRNAs miR-193b-5p, miR-122-5p, miR-885-3p, miR-193a-5p, miR-34a-5p, miR-505-3p, miR-194-5p, miR-27b-3p, miR-885-5p, miR-23b-5b, miR-365a-3p, miR-365b-3p, miR-22-5p was associated with a higher metabolic risk profile, unfavourable macro- and microvascular health, lower physical activity (PA) as well as cardiorespiratory fitness (CRF) levels. Increased expression of miR-342-3p, miR-1-3p, miR-92b-5p, miR-454-3p, miR-190a-5p and miR-375-3p was associated with a lower metabolic risk profile, favourable macro- and microvascular health as well as higher PA and CRF. Of note, the first two principal components explained as much as 20% and 11% of the data variance. miRNAs and their potential target genes appear to mediate disease- and health-related physiological and pathophysiological adaptations that need to be validated and supported by further downstream analysis in future studies.Clinical Trial Registration: ClinicalTrials.gov: NCT02796976 ( https://clinicaltrials.gov/ct2/show/NCT02796976 ).",2022 Feb 22,"['Adaptation, Physiological/genetics', 'Age Factors', 'Cardiorespiratory Fitness', 'Circulating MicroRNA/*genetics/metabolism/physiology', 'Cohort Studies', 'Disease/*genetics', 'Exercise/genetics', 'Female', 'Gene Expression/genetics', 'Gene Expression Profiling/*methods', '*Healthy Volunteers', 'Heart Disease Risk Factors', 'Humans', 'Male', 'Sedentary Behavior']",35194110,hsa-mir-505,No
75,MiRNAs from DLK1-DIO3 Imprinted Locus at 14q32 are Associated with Multiple Sclerosis: Gender-Specific Expression and Regulation of Receptor Tyrosine Kinases Signaling.,"Relapsing-remitting multiple sclerosis (RRMS) is the most prevalent course of multiple sclerosis. It is an autoimmune inflammatory disease of the central nervous system. To investigate the gender-specific involvement of microRNAs (miRNAs) in RRMS pathogenesis, we compared miRNA profiles in peripheral blood mononuclear cells separately in men and women (eight RRMS patients versus four healthy controls of each gender) using high-throughput sequencing. In contrast to women, six downregulated and 26 upregulated miRNAs (p(ad)(j) < 0.05) were identified in men with RRMS. Genes encoding upregulated miRNAs are co-localized in DLK1-DIO3 imprinted locus on human chromosome 14q32. Reverse transcription quantitative polymerase chain reaction (RT-qPCR) analysis was performed in independent groups of men (16 RRMS patients and 10 healthy controls) and women (20 RRMS patients and 10 healthy controls). Increased expression of miR-431, miR-127-3p, miR-379, miR-376c, miR-381, miR-410 and miR-656 was again demonstrated in male (p(ad)(j) < 0.05), but not in female RRMS patients. At the same time, the expression levels of these miRNAs were lower in healthy men than in healthy women, whereas in RRMS men they increased and reached or exceeded levels in RRMS women. In general, we demonstrated that expression levels of these miRNAs depend both on ""health(-)disease"" status and gender. Network-based enrichment analysis identified that receptor tyrosine kinases-activated pathways were enriched with products of genes targeted by miRNAs from DLK1-DIO3 locus. These results suggest the male-specific involvement of these miRNAs in RRMS pathogenesis via regulation of PI3K/Akt signaling.",2019 Feb 8,"['Calcium-Binding Proteins', 'Chromosomes, Human, Pair 14/*genetics', 'Female', '*Gene Expression Regulation', 'Gene Regulatory Networks', '*Genetic Loci', '*Genomic Imprinting', 'Humans', 'Intercellular Signaling Peptides and Proteins/genetics', 'Iodide Peroxidase/genetics', 'Male', 'Membrane Proteins/genetics', 'MicroRNAs/genetics/*metabolism', 'Multiple Sclerosis/*genetics', 'Receptor Protein-Tyrosine Kinases/*metabolism', '*Sex Characteristics', 'Signal Transduction']",30743997,hsa-mir-381,No
