TI,AB,DP,MH,PMID,mir,is_mir_causal,note
Expression of microRNA-146 in rheumatoid arthritis synovial tissue.,"OBJECTIVE: Several microRNA, which are approximately 22-nucleotide noncoding RNAs, exhibit tissue-specific or developmental stage-specific expression patterns and are associated with human diseases. The objective of this study was to identify the expression pattern of microRNA-146 (miR-146) in synovial tissue from patients with rheumatoid arthritis (RA). METHODS: The expression of miR-146 in synovial tissue from 5 patients with RA, 5 patients with osteoarthritis (OA), and 1 normal subject was analyzed by quantitative reverse transcription-polymerase chain reaction (RT-PCR) and by in situ hybridization and immunohistochemistry of tissue sections. Induction of miR-146 following stimulation with tumor necrosis factor alpha (TNFalpha) and interleukin-1beta (IL-1beta) of cultures of human rheumatoid arthritis synovial fibroblasts (RASFs) was examined by quantitative PCR and RT-PCR. RESULTS: Mature miR-146a and primary miR-146a/b were highly expressed in RA synovial tissue, which also expressed TNFalpha, but the 2 microRNA were less highly expressed in OA and normal synovial tissue. In situ hybridization showed primary miR-146a expression in cells of the superficial and sublining layers in synovial tissue from RA patients. Cells positive for miR-146a were primarily CD68+ macrophages, but included several CD3+ T cell subsets and CD79a+ B cells. Expression of miR-146a/b was markedly up-regulated in RASFs after stimulation with TNFalpha and IL-1beta. CONCLUSION: This study shows that miR-146 is expressed in RA synovial tissue and that its expression is induced by stimulation with TNFalpha and IL-1beta. Further studies are required to elucidate the function of miR-146 in these tissues.",2008,"['Adult', 'Aged', 'Arthritis, Rheumatoid/*genetics', 'Female', 'Humans', 'Male', 'MicroRNAs/*biosynthesis', 'Middle Aged', 'Synovial Membrane/*metabolism']",18438844,hsa-mir-146a,no,
Withaferin A mediated changes of miRNA expression in breast cancer-derived,"Breast cancer is a heterogeneous disease consisting of atypical cell populations that share stem cell-like characteristics associated with therapeutic resistance, disease relapse, and poor clinical outcome. MicroRNAs (miRNA), and small noncoding RNA, are pivotal in the regulation of self-renewal, stemness, and cellular differentiation. Withaferin A (WA), a steroidal lactone, is a major bioactive constituent of Withania somnifera (Solanaceae) known for its anticancer properties. In this study, the effect of WA on modulation of miRNA expression in breast cancer-derived mammosphere was assessed utilizing small RNA sequencing. Treatment with WA inhibited MCF-7 and T47D cells derived mammosphere formation with a significant decrease in CD44, EpCAM, Nanog, OCT4, and SOX2 as markers of self-renewal and stemness. Small RNA sequencing demonstrated a total of 395 differentially expressed miRNAs (DEMs) including 194 upregulated and 201 downregulated miRNAs in WA-treated MCF-7 mammospheres. Bioinformatics analysis utilizing the KEGG pathway, Gene Ontology enrichment, protein-protein, and miRNA-mRNA interaction network identified altered expression in a few hub genes viz. AKT1, PTEN, MYC, CCND1, VEGFA, NOTCH1, and IGFR1 associated with DEMs in WA-treated mammospheres. Further quantitative RT-PCR analysis validated the expression of DEMs including miR-549a-5p, miR-1247-5p, miR-124-5p, miR-137-5p, miR-34a-5p, miR-146a-5p, miR-99a-5p, miR-181a-5p, let-7c-5p, and let-7a-5p. In particular, let-7c-5p is designated as a tumor suppressor in breast cancer. An increase in miR-let-7c-5p expression was noted after WA treatment, with a simultaneous decrease in CCND1 and c-MYC at mRNA and protein levels. Taken together, our study demonstrated WA-mediated miRNA expression, in particular, upregulation of miR-let-7c-5p, leads to the inhibition of breast cancer cells derived mammospheres.",2022,"['*Breast Neoplasms/drug therapy/genetics', 'Female', 'Gene Expression Regulation, Neoplastic', 'Humans', '*MicroRNAs/genetics/metabolism', 'RNA, Messenger/genetics', 'Withanolides']",35770722,hsa-mir-99a,no,
"Curcumin-Attenuated TREM-1/DAP12/NLRP3/Caspase-1/IL1B, TLR4/NF-?§B Pathways, and","We aimed to evaluate the effects of 1,2-diacetylbenzene (DAB) and curcumin on neuroinflammation induced by DAB via triggering receptor expressed on myeloid cells 1 (TREM-1), Toll-like receptor 4 (TLR4), and NLR family pyrin domain containing 3 (NLP3)/calcium-dependent activator protein for secretion 1 (CAPS1)/interleukin 1 beta (IL1B) pathways; tau hyperphosphorylation; reactive oxygen species (ROS); and advanced glycation end-product (AGE) in microglia cells; and explore the molecular mechanisms involved in the key genes induced by DAB and targeted by curcumin in silico analysis. In this study, Western blot, quantitative polymerase chain reaction, and immunocytochemistry were used as the key methods in vitro. In silico analysis, GeneMANIA, ToppFun feature, Metascape, CHEA3, Cytoscape, Autodock, and MIENTURNET were the core approaches used. Curcumin inhibited both the DAB-induced TREM-1/DAP12/NLRP3/caspase-1/IL1B pathway and the TLR4/NF-?§B pathway. In BV2 cells, curcumin inhibited ROS, AGE, hyperphosphorylation, glycogen synthase kinase-3?э (GSK-3?э), and ?э-amyloid while activating nuclear factor erythroid 2-related factor 2 (Nrf2) expression. In silico studies showed that tumor necrosis factor (TNF), IL6, NFKB1, IL10, and IL1B, as well as MTF1 and ZNF267, were shown to be important genes and transcription factors in the pathogenesis of cognitive impairment produced by DAB and curcumin. Three significant miRNAs (hsa-miR-26a-5p, hsa-miR-203a-3p, and hsa-miR-155-5p) implicated in the etiology of DAB-induced cognitive impairment and targeted by curcumin were also identified. Inflammation and cytokine-associated pathways, Alzheimer's disease, and cognitive impairment were characterized as the most significant biological processes implicated in genes, miRNAs, and transcription factors induced by DAB and targeted by curcumin. Our findings provide new insight into fundamental molecular mechanisms implicated in the pathogenesis of cognitive impairment caused by DAB, particularly the effects of neuroinflammation. Furthermore, this study suggests that curcumin might be a promising therapeutic molecule for cognitive impairment treatment through modulating neuroinflammatory responses.",2022,"['Benzene/pharmacology', 'Calmodulin/metabolism/pharmacology', 'Caspases/metabolism', '*Curcumin/pharmacology', 'Diacetyl/pharmacology', 'Glycogen Synthase Kinase 3 beta/metabolism', 'Humans', 'Interleukin-10/metabolism', 'Interleukin-1beta/metabolism', 'Interleukin-6/metabolism', '*MicroRNAs', 'NF-E2-Related Factor 2/metabolism', 'NF-kappa B/metabolism', 'NLR Family, Pyrin Domain-Containing 3 Protein', 'Reactive Oxygen Species/metabolism', 'Signal Transduction', 'Toll-Like Receptor 4/metabolism', 'Triggering Receptor Expressed on Myeloid Cells-1/metabolism', 'Tumor Necrosis Factors/metabolism/pharmacology']",35781221,hsa-mir-155,no,
LncRNA DANCR promotes ATG7 expression to accelerate hepatocellular carcinoma cell,"OBJECTIVE: LncRNA differentiation antagonizing non-protein coding RNA (DANCR) is an oncogene in various malignant cancers, including hepatocellular carcinoma (HCC). Autophagy is an intracellular self-digestion mechanism that accelerates the progression of HCC via promoting cell survival. However, the role of lncRNA DANCR in HCC, and the mechanism of lncRNA DANCR in the regulation of autophagy in HCC remains unknown. Therefore, the aims of this study are the investigation of the role of lncRNA DANCR in HCC, and the exploration of the molecular mechanism of lncRNA DANCR in regulating autophagy of HCC cells. PATIENTS AND METHODS: In this study, the expression of lncRNA DANCR, miR-222-3p, and autophagy-related gene 7 (ATG7) was detected by qRT-PCR. The cell proliferation and colony formation were measured by Cell Counting Kit-8 (CCK-8) assay and colony formation assay. And the autophagic flux was evaluated by mRFP-GFP-LC3B reporter. The autophagy related proteins were analyzed by Western blotting. Besides, the relationship between lncRNA DANCR and miR-222-3p, as well as between miR-222-3p and ATG7, was determined by Dual-Luciferase reporter system. RESULTS: We found high expression of lncRNA DANCR and ATG7, and low expression of miR-222-3p in HCC tissues and cell lines. And lncRNA DANCR positively correlated with poor survival of HCC patients. Moreover, the knockdown of lncRNA DANCR inhibited cell proliferation and autophagy of HCC cells. And we predicted and proved that lncRNA DANCR induced cell proliferation, colony formation and autophagy by increasing ATG7 and suppressing miR-222-3p. CONCLUSIONS: Our study demonstrates the promoting role of lncRNA DANCR in HCC, and indicates the regulatory effects of lncRNA DANCR on regulating autophagy of HCC.",2020,"['Autophagy/genetics', 'Autophagy-Related Protein 7/*genetics/metabolism', '*Carcinoma, Hepatocellular/genetics/metabolism/pathology', 'Cell Line', 'Cell Proliferation/genetics', 'Hepatocytes/metabolism', 'Humans', '*Liver Neoplasms/genetics/metabolism/pathology', '*MicroRNAs', '*RNA, Long Noncoding']",32964966,hsa-mir-222,yes,not sure
Early Detection of Lung Cancer in Serum by a Panel of MicroRNA Biomarkers.,"INTRODUCTION: The objective of the study was to develop a panel of microRNAs (miRNAs) as highly sensitive and specific biomarkers for lung cancer early detection. MATERIALS AND METHODS: The study contained 2 phases: first, preliminary marker selection based on previous reports on the serum of 24 early stage lung cancer patients and 24 healthy control subjects by TaqMan probe-based real-time reverse transcription-quantitative polymerase chain reaction (RT-qPCR); and second, validation of miRNA markers on 94 early stage lung cancer, 48 stage III to IV lung cancer, and 111 healthy control serum samples. RESULTS: A total of 3 miRNAs (miR-125a-5p, miR-25, and miR-126) were selected for further analysis in this study. The combination of the 3 miRNAs could produce 0.936 area under the receiver operating characteristic curve value in distinguishing early stage lung cancer patients from control subjects with 87.5% sensitivity and 87.5% specificity, respectively. The diagnostic value of the miRNA panel in an independent set of lung cancer patients confirmed the sensitivity and specificity. CONCLUSION: The results demonstrated that the panel of miRNA biomarkers had the potential for the early detection of lung cancer.",2015,"['Aged', 'Biomarkers, Tumor/*blood/genetics', 'Case-Control Studies', 'Early Detection of Cancer', 'Female', 'Humans', 'Lung Neoplasms/blood/*diagnosis/genetics', 'Male', 'MicroRNAs/*blood', 'Middle Aged', 'Neoplasm Staging', 'Real-Time Polymerase Chain Reaction', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sensitivity and Specificity']",25639977,hsa-mir-125a,no,
Regulation of 11?э-hydroxysteroid dehydrogenase type 2 by microRNA.,"The enzyme 11?э-hydroxysteroid dehydrogenase type 2 (11?э-HSD2) is selectively expressed in aldosterone target tissues, conferring aldosterone selectivity for the mineralocorticoid receptor. A diminished activity causes salt-sensitive hypertension. The mechanism of the variable and distinct 11?э-hydroxysteroid dehydrogenase type 2 gene (HSD11B2) expression in the cortical collecting duct is poorly understood. Here, we analyzed for the first time whether the 11?э-HSD2 expression is modulated by microRNAs (miRNAs). In silico analysis revealed 53 and 27 miRNAs with potential binding sites on human or rat HSD11B2 3'-untranslated region. A reporter assay demonstrated 3'-untranslated region-dependent regulation of human and rodent HSD11B2. miRNAs were profiled from cortical collecting ducts and proximal convoluted tubules. Bioinformatic analyses showed a distinct clustering for cortical collecting ducts and proximal convoluted tubules with 53 of 375 miRNAs, where 13 were predicted to bind to the rat HSD11B2 3'-untranslated region. To gain insight into potentially relevant miRNAs in vivo, we investigated 2 models with differential 11?э-HSD2 activity linked with salt-sensitive hypertension. (1) Comparing Sprague-Dawley with low and Wistar rats with high 11?э-HSD2 activity revealed rno-miR-20a-5p, rno-miR-19b-3p, and rno-miR-190a-5p to be differentially expressed. (2) Uninephrectomy lowered 11?э-HSD2 activity in the residual kidney with differentially expressed rno-miR-19b-3p, rno-miR-29b-3p, and rno-miR-26-5p. In conclusion, miRNA-dependent mechanisms seem to modulate 11?э-HSD2 dosage in health and disease states.",2014,"['11-beta-Hydroxysteroid Dehydrogenase Type 2/*genetics', ""3' Untranslated Regions/*genetics"", 'Animals', 'Cell Line, Tumor', 'Cluster Analysis', 'Gene Expression Profiling', '*Gene Expression Regulation, Enzymologic', 'HT29 Cells', 'Humans', 'Hypertension/etiology/genetics', 'Kidney Cortex/metabolism', 'Kidney Tubules, Collecting/metabolism', 'Male', 'MicroRNAs/*genetics/metabolism', 'Rats', 'Rats, Sprague-Dawley', 'Rats, Wistar', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sodium Chloride, Dietary/administration & dosage/toxicity', 'Species Specificity']",24980668,hsa-mir-20a,no,
MiRNA-130a promotes inflammation to accelerate atherosclerosis via the regulation,"OBJECTIVE: In this study, we aimed to evaluate the possible function of miR-130a in atherosclerosis (AS), protection against AS, and its molecular biological mechanism. METHODS: Apoe-/- mice were fed a high-fat diet as the AS mice model. Human umbilical vein endothelial cells (HUVECs) were used as in vitro model. Serum samples or cells were used to measure the expression of inflammation. Serum samples or cells were used to determine MiRNA expression profiles using the edgeR tool from Bioconductor. Western Blot analysis was used to assess protein expressions of proliferator-activated receptor ?? (PPAR??) and nuclear factor (NF)-?§B. RESULTS: MiRNA-130a expression was up-regulated in atherosclerotic mice. In addition, over-expression of miRNA-130a promoted inflammation factors [tumor necrosis factor (TNF)-?с and interleukin (IL)-1?э, IL-6, and IL-8] in the in vitro model of AS. However, down-regulation of miRNA-130a reduced inflammation (suppressed TNF-?с, IL-1?э, IL-6 and IL-8) in the in vitro model. Furthermore, over-expression of miRNA-130a could also suppress the protein expression of PPAR?? and induce NF-?§B protein expression in the in vitro model. However, suppression of miRNA-130a induced the protein expression of PPAR?? and suppressed NF-?§B protein expression in the in vitro model of AS. Activation of PPAR?? reduced the pro-inflammatory effects of miRNA-130a on the AS-induced in vitro model. CONCLUSION: These results strongly support that miRNA-130a suppression can protect against atherosclerosis through inhibiting inflammation by regulating the PPAR??/ NF-?§B expression.",2021,"['Animals', '*Atherosclerosis/genetics', 'Human Umbilical Vein Endothelial Cells', 'Humans', 'Inflammation', 'Mice', '*MicroRNAs/genetics', 'PPAR gamma/*genetics', 'Peroxisome Proliferator-Activated Receptors']",34498594,hsa-mir-130a,yes,
Long noncoding RNA NR2F1-AS1 promotes the malignancy of non-small cell lung cancer via sponging microRNA-493-5p and thereby increasing ITGB1 expression.,"Several studies have reported that the long noncoding ribonucleic acid (lncRNA) NR2F1 antisense RNA 1 (NR2F1-AS1) affects multiple cellular pathways that are involved in tumorigenesis and tumor progression. The present study aimed to detect NR2F1-AS1 expression in non-small cell lung cancer (NSCLC), investigate the role of NR2F1-AS1 in promoting the tumorigenic behavior of NSCLC cells, and elucidate the mechanism underlying the effect of NR2F1-AS1 on NSCLC progression. Our results showed that NR2F1-AS1 expression was upregulated in NSCLC cells, and notably, its upregulation was correlated with adverse clinical characteristics and shorter overall survival in patients with NSCLC. The absence of NR2F1-AS1 functionally decreased NSCLC cell proliferation, migration, and invasion and promoted tumor cell apoptosis. In addition, the tumor growth of NSCLC cells in vivo was inhibited after NR2F1-AS1 silencing. Mechanistically, NR2F1-AS1 functioned as a competing endogenous RNA for miR-493-5p and consequently increased ITGB1 expression. Rescue assays further validated that an increased output of the miR-493-5p/ITGB1 axis could neutralize the regulatory impact of NR2F1-AS1 knockdown on the malignant phenotype of NSCLC cells. In summary, the NR2F1-AS1/miR-493-5p/ITGB1 pathway initiates pro-oncogenic behavior in NSCLC tumor progression, and the NR2F1-AS1/miR-493-5p/ITGB1 axis may provide new molecular targets for anticancer therapy against NSCLC.",2020 Aug 7,"['Aged', 'COUP Transcription Factor I/*genetics', 'Carcinogenesis', 'Carcinoma, Non-Small-Cell Lung/*genetics', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Integrin beta1/*genetics', 'Lung Neoplasms/*genetics', 'MicroRNAs/*genetics', 'Middle Aged', 'RNA, Long Noncoding/*genetics']",32784268,hsa-mir-493,yes,
"Immunomodulatory effects of phytosomal curcumin on related-micro RNAs, CD200","Human dental pulp stem cells (hDPSCs) have significant potential of immunomodulatory for therapeutic and regenerative biomedical applications compared to other mesenchymal stem cells (MSCs). Nowadays, alteration of gene expression is an important way to improve the performance of MSCs in the clinic. MicroRNAs (miRs) and CD200 are known to modulate the immune system in MSCs. Curcumin is famous for its anti-inflammatory impacts. Phytosomal curcumin (PC) is a nanoparticle synthesized from curcumin that removes the drawbacks of curcumin. The purpose of this research was to assess the effects of PC on the expression of the CD200 and four key miRNAs in immune system. PC (30 ?¬M) treatment of hDPSCs could ameliorate their immunoregulatory property, presented by reduced expressions of miR-21, miR-155 and miR-126, as well as enhanced expressions of miR-23 and CD200. The PC was also able to reduce PI3K\AKT1\NF-?§B expressions that were target genes for these miRs and involved in inflammatory pathways. Moreover, PC was more effective than curcumin in improving the immune modulation of hDPSCs. Evidence in this study suggested that PC mediates immunoregulatory activities in hDPSC via miRs and CD200 to regulate PI3K\AKT1\NF-?§B signalling pathways, which may provide a theoretical basis for PC in the treatment of many diseases. SIGNIFICANCE OF THE STUDY: Autoimmune diseases or tooth caries are partly attributed to global health problems and their common drug treatments have several side effects. The goal of this study is dentin regeneration and autoimmune diseases treatment via stem cell-based approaches with phytosomal curcumin (PC), for the first time. Because dental pulp stem cells have unique advantages (including higher immunomodulatory capacity) over other mesenchymal stem cells, we considered them the best option for treating these diseases. Using PC, we try to increase the immunomodulatory properties of these cells.",2021,"['Antigens, CD/*genetics/immunology', 'Cells, Cultured', 'Curcumin/chemistry/*pharmacology', 'Dental Pulp/*drug effects/immunology', 'Humans', 'Inflammation/*drug therapy/immunology', 'MicroRNAs/*antagonists & inhibitors/genetics/immunology', 'Nanoparticles/chemistry', 'Stem Cells/*drug effects/immunology']",34235754,hsa-mir-126,no,
Overexpression of long non-coding RNA TUG1 alleviates TNF-?с-induced inflammatory,"OBJECTIVE: Irritable bowel syndrome (IBS) is a common functional disorder in the gastrointestinal tract. Inflammatory response has been found to participate in the pathogenesis of IBS. This study aimed to explore the effects of long non-coding RNA taurine upregulated gene 1 (TUG1) on tumor necrosis factor alpha (TNF-?с)-induced interstitial cells of Cajal (ICC) inflammatory injury, which was relevant to the pathogenesis of IBS. PATIENTS AND METHODS: The expression levels of TUG1 and microRNA-127 (miR-127) were analyzed by qRT-PCR. Viability, apoptosis and the expression of apoptosis-associated factors were analyzed by CCK-8 assay, flow cytometry and Western blot, respectively. The mRNA and protein levels of pro-inflammatory cytokines were detected by qRT-PCR and Western blot, respectively. Finally, activations of nuclear factor kappa-B (NF-?§B) and Notch pathways were evaluated by Western blot. RESULTS: TNF-?с treatment inhibited ICC viability, induced ICC apoptosis and promoted an inflammatory response in ICC. TUG1 was downregulated in TNF-?с-treated ICC. TUG1 overexpression protected ICC from TNF-?с-induced apoptosis and pro-inflammatory cytokines expression. TUG1 suppression showed opposite effects. MiR-127 was negatively regulated by TUG1 and implicated in the action of TUG1 in ICC. MiR-127 up-regulation largely reversed the effects of TUG1 on TNF-?с-treated ICC. Mechanistically, TUG1 inhibited TNF-?с-induced activation of NF-?§B and Notch pathways in ICC by down-regulating miR-127. CONCLUSIONS: TUG1 attenuated TNF-?с-caused apoptosis and inflammatory response in ICC by down-regulating miR-127 and then inactivating NF-?§B and Notch pathways.",2019,"['Animals', 'Apoptosis/genetics/immunology', 'Cell Survival/genetics/immunology', 'Cells, Cultured', 'Female', 'Gene Expression Profiling', 'Humans', 'Interstitial Cells of Cajal/*immunology/pathology', 'Irritable Bowel Syndrome/*genetics/immunology/pathology', 'Mice', 'MicroRNAs/*genetics/metabolism', 'Primary Cell Culture', 'RNA, Long Noncoding/agonists/antagonists & inhibitors/genetics/*metabolism', 'RNA, Small Interfering/metabolism', 'Receptors, Notch/immunology/metabolism', 'Signal Transduction/genetics/immunology', 'Tumor Necrosis Factor-alpha/immunology/*metabolism', 'Up-Regulation']",30657572,hsa-mir-127,no,
Control of EVI-1 oncogene expression in metastatic breast cancer cells through,"Metastasis in breast cancer carries a disproportionately worse prognosis than localized primary disease. To identify microRNAs (miRNA) involved in metastasis, the expression of 254 miRNAs was measured across the following cell lines using microarray analysis: MDA-MB-231 breast cancer cells, cells that grew as a tumor in the mammary fat pad of nude mice (TMD-231), metastatic disease to the lungs (LMD-231), bone (BMD-231) and adrenal gland (ADMD-231). A brain-seeking variant of this cell line (231-BR) was used additionally in validation studies. Twenty miRNAs were upregulated and seven were downregulated in metastatic cancer cells compared with TMD-231 cells. The expression of the tumor suppressor miRNAs let-7 and miR-22 was consistently downregulated in metastatic cancer cells. These metastatic cells expressed higher levels of putative/proven miR-22 target oncogenes ERBB3, CDC25C and EVI-1. Introduction of miR-22 into cancer cells reduced the levels of ERBB3 and EVI-1 as well as phospho-AKT, an EVI-1 downstream target. The miR-22 primary transcript is located in the 5'-untranslated region of an open reading frame C17orf91, and the promoter/enhancer of C17orf91 drives miR-22 expression. We observed elevated C17orf91 expression in non-basal subtype compared with basal subtype breast cancers. In contrast, elevated expression of EVI-1 was observed in basal subtype and was associated with poor outcome in estrogen receptor-negative breast cancer patients. These results suggest that metastatic cancer cells increase specific oncogenic signaling proteins through downregulation of miRNAs. Identifying such metastasis-specific oncogenic pathways may help to manipulate tumor behavior and aid in the design of more effective targeted therapies.",2011,"['Animals', 'Breast Neoplasms/genetics/*metabolism/pathology', 'Cell Line, Tumor', 'DNA-Binding Proteins/genetics/*metabolism', 'Female', '*Gene Expression Regulation, Neoplastic', 'Humans', 'MDS1 and EVI1 Complex Locus Protein', 'Mice', 'Mice, Nude', 'MicroRNAs/genetics/metabolism/*physiology', 'Neoplasm Metastasis', 'Neoplasm Transplantation', 'Oligonucleotide Array Sequence Analysis', 'Proto-Oncogenes/genetics', 'Receptors, Estrogen/genetics/metabolism', 'Transcription Factors/genetics/*metabolism']",21057539,hsa-mir-22,no,
Expression of the miR-148/152 Family in Acute Myeloid Leukemia and its Clinical,"BACKGROUND MicroRNAs (miRNAs) play an important role in the development and progression of acute myeloid leukemia (AML). The miR-148/152 family has been reported to be express differently in various kinds of tumors. We investigated the expression level of the miR-148/152 family in AML patients and their clinical significance. MATERIAL AND METHODS Expression levels of the miR-148/152 family in 80 patients with newly diagnosed AML and 20 healthy participants were analyzed by qRT-PCR. We also evaluated the relationship between the expression levels of the miR-148/152 family and clinicopathological features of AML patients. RESULTS Compared with healthy controls, we found a significant lower expression of downregulated miR-148/152 in AML patients (p<0.0001). The expression of miR148/152 family was associated with various AML clinicopathological risk parameters including FAB classifications, cytogenetics, and gene mutations. The number of patients with high expression levels of miR-148a/b was significantly increased in the low-risk group and significantly decreased in the high-risk group. (p=0.025, p=0.000, respectively). Patients with higher expression of miR-148b showed a higher complete remission (CR) rate (p=0.043). Importantly, higher expression of miR-148a/b was correlated with lower relapse rate (p=0.035, p=0.027, respectively) and showed a longer relapse-free survival (RFS) (p=0.0321, p=0.002, respectively). In the subgroup analysis, RFS was significantly affected by the expression of miR-148a/b in patients the high and the intermediate-risk groups (p=0.0499, p=0.0114, respectively). CONCLUSIONS The expression levels of the miR-148/152 family were lower in patients with AML compared to healthy controls, and were associated with various AML clinicopathological parameters and therapeutic effect. The miR-148/152 family may prove to be a new biomarker for AML.",2017,"['Adult', 'Aged', 'Biomarkers, Tumor/biosynthesis/genetics', 'Bone Marrow Cells/metabolism/pathology', 'Case-Control Studies', 'Disease Progression', 'Disease-Free Survival', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/blood/*genetics/pathology', 'Male', 'MicroRNAs/*biosynthesis/blood', 'Middle Aged', 'Neoplasm Recurrence, Local/blood/genetics/pathology', 'Survival Analysis', 'Young Adult']",28978904,hsa-mir-148a,no,
Circulating microRNAs in Huntington's disease: Emerging mediators in metabolic impairment.,"Huntington's disease (HD) is a hereditary neurodegenerative disease, with peripheral consequences that negatively contribute to quality of life. Circulating microRNAs (cmiRNAs) are being explored for their roles in intercellular communication and gene expression regulation, which allows gaining insight into the regulation of crosstalk between neuronal and peripheral tissues. Here, we explore the cmiRNA profile of plasma samples from fifteen symptomatic patients, with 40-45 CAG repeats in the HTT gene, and seven healthy matched controls. Isolated miRNAs from plasma samples were run against human miRNome panels, which have sequences for 752 human mature miRNAs. We found that 168 cmiRNAs are altered in symptomatic patients. Considering Bonferroni's correction, miR-877-5p, miR-223-3p, miR-223-5p, miR-30d-5p, miR-128, miR-22-5p, miR-222-3p, miR-338-3p, miR-130b-3p, miR-425-5p, miR-628-3p, miR-361-5p, miR-942 are significantly increased in HD patients as compared with controls. Moreover, after patient's organization according to approved HD scales, miR-122-5p is significantly decreased in HD patients with Unified Huntington's Disease Rating Scale >24, whereas an increase in miR-100-5p levels and a decrease in miR-641 and miR-330-3p levels were recorded when patients were rearranged by Total Functional Capacity. These results suggest that cmiRNA profile could be further modified by disease progression, making cmiRNAs useful as monitoring biomarkers. Analysis of target genes indicated a general overexpression of cmiRNAs implicated in metabolism regulation. Profiling cmiRNA of HD subjects opens the possibility of personalized therapies for different groups of HD patients, based on disease modifiers: regulation of altered pathways might contribute to not only alleviate disease symptoms, but also influence HD progression.",2016 Jun,"['Adult', 'Aged', 'Biomarkers/blood/metabolism', 'Circulating MicroRNA/blood/*genetics/metabolism', 'Disease Progression', '*Gene Expression Profiling', '*Gene Expression Regulation', 'Humans', 'Huntington Disease/blood/*genetics/metabolism/pathology', 'Male', 'Middle Aged', 'Quality of Life']",27155059,hsa-mir-361,no,
HNRNPA2/B1 is upregulated in endocrine-resistant LCC9 breast cancer cells and alters the miRNA transcriptome when overexpressed in MCF-7 cells.,"MicroRNAs are dysregulated in breast cancer. Heterogeneous Nuclear Ribonucleoprotein A2/B1 (HNRNPA2/B1) is a reader of the N(6)-methyladenosine (m6A) mark in primary-miRNAs (pri-miRNAs) and promotes DROSHA processing to precursor-miRNAs (pre-miRNAs). We examined the expression of writers, readers, and erasers of m6A and report that HNRNPA2/B1 expression is higher in tamoxifen-resistant LCC9 breast cancer cells as compared to parental, tamoxifen-sensitive MCF-7 cells. To examine how increased expression of HNRNPA2/B1 affects miRNA expression, HNRNPA2/B1 was transiently overexpressed (~5.4-fold) in MCF-7 cells for whole genome miRNA profiling (miRNA-seq). 148 and 88 miRNAs were up- and down-regulated, respectively, 48 h after transfection and 177 and 172 up- and down-regulated, respectively, 72 h after transfection. MetaCore Enrichment analysis identified progesterone receptor action and transforming growth factor beta (TGFbeta) signaling via miRNA in breast cancer as pathways downstream of the upregulated miRNAs and TGFbeta signaling via SMADs and Notch signaling as pathways of the downregulated miRNAs. GO biological processes for mRNA targets of HNRNPA2/B1-regulated miRNAs included response to estradiol and cell-substrate adhesion. qPCR confirmed HNRNPA2B1 downregulation of miR-29a-3p, miR-29b-3p, and miR-222 and upregulation of miR-1266-5p, miR-1268a, miR-671-3p. Transient overexpression of HNRNPA2/B1 reduced MCF-7 sensitivity to 4-hydroxytamoxifen and fulvestrant, suggesting a role for HNRNPA2/B1 in endocrine-resistance.",2019 Jul 1,"['Breast Neoplasms/metabolism/pathology', 'Cell Line, Tumor', 'Down-Regulation', 'Drug Resistance, Neoplasm/drug effects/*genetics', 'Female', 'Heterogeneous-Nuclear Ribonucleoprotein Group A-B/genetics/*metabolism', 'Humans', 'MCF-7 Cells', 'MicroRNAs/genetics/*metabolism', 'Signal Transduction/genetics', 'Tamoxifen/pharmacology', 'Transcriptome', 'Transforming Growth Factor beta/metabolism', 'Up-Regulation']",31263129,hsa-mir-671,no,
